heuristic;k;n;dataset;c;mean;cost;time in ms;
Random MSM Median: rand:1000000;3;13;Beef;0.1;[-0.42745, -0.62977, -0.61061, -0.74429, -0.78175, -0.78175, -0.85542, -0.86352, -0.81647, -0.85542, -0.91209, -0.89968, -0.82797];3,85578;4002
Random MSM Median: rand:1000000;3;13;Beef;0.1;[-0.45014, -0.45014, -0.50567, -0.75772, -0.75772, -0.70914, -0.78175, -0.83178, -0.81647, -0.85542, -0.87474, -0.87474, -0.85542];3,8299;4009
Random MSM Median: rand:1000000;3;13;Beef;0.1;[-0.50567, -0.48036, -0.42368, -0.61061, -0.62977, -0.78175, -0.81997, -0.82745, -0.82797, -0.82797, -0.91209, -0.82745, -0.82745];3,90099;4070
Random MSM Median: rand:10000;3;13;CBF;0.1;[-0.53973, -0.42845, -0.53225, -0.42845, -0.54112, -0.11505, -0.42845, -0.53225, -0.53225, -0.57315, -0.14083, -0.031282, 0.054909];13,384147;43
Random MSM Median: rand:10000;3;13;CBF;0.1;[-0.57315, -0.14083, -0.14083, -0.11451, -0.99828, -0.53973, -0.65649, -0.53225, -0.54112, -0.11451, -0.53973, -0.14083, -0.11505];13,753847;42
Random MSM Median: rand:10000;3;13;CBF;0.1;[-0.56606, -0.57315, -0.64039, -0.64039, -0.42845, -0.6485, -0.65649, -0.53973, -0.54118, 0.054909, -0.14083, -0.54118, -0.54118];13,635004;42
Random MSM Median: rand:100000;3;13;CBF;0.1;[-0.64039, -0.70009, -0.54118, -0.75663, -0.64039, -0.75663, -0.42845, -0.14083, -0.59478, -0.57315, -0.42845, -0.99828, -0.54112];13,147227;427
Random MSM Median: rand:100000;3;13;CBF;0.1;[-0.57315, -0.54118, -0.65649, -0.54112, -0.22687, -0.57315, -0.54112, -0.11451, -0.53225, -0.56606, -0.70009, -0.14083, -0.14083];13,440657;420
Random MSM Median: rand:100000;3;13;CBF;0.1;[-0.70009, -0.59478, -0.65649, -0.6485, -0.11451, -0.70009, -0.11505, -0.54118, -0.59478, -0.54112, -0.59478, -0.99828, -0.89879];13,202397;422
Random MSM Median: rand:1000000;3;13;CBF;0.1;[-0.64039, -0.64039, -0.70009, -0.54118, -0.6485, -0.11451, -0.64039, -0.65649, -0.53973, -0.57315, -0.54118, -0.99828, -1.0528];13,324267;4323
Random MSM Median: rand:1000000;3;13;CBF;0.1;[-0.65649, -0.6485, -0.59478, -0.59478, -0.53225, -0.54112, -0.11451, -0.53225, -0.54112, -0.54118, -0.56606, -0.54112, -0.70009];12,851167;4341
Random MSM Median: rand:1000000;3;13;CBF;0.1;[-0.53973, -0.54118, -0.57315, -0.65649, -0.42845, -0.11505, -0.54118, -0.53973, -0.53225, -0.54112, -0.70009, -0.70009, -0.75663];13,072547;4332
Random MSM Median: rand:10000;3;13;Coffee;0.01;[-1.2375, -1.3715, -1.5372, -1.5992, -1.3715, -1.6756, -1.7385, -1.8153, -1.7903, -1.7553, -1.8153, -1.8665, -1.8567];1,8379;37
Random MSM Median: rand:10000;3;13;Coffee;0.01;[-1.2718, -1.5992, -1.5372, -1.7903, -1.7385, -1.8153, -1.7553, -1.8005, -1.687, -1.808, -1.8665, -1.8509, -1.8509];2,3028;37
Random MSM Median: rand:10000;3;13;Coffee;0.01;[-1.2718, -1.3471, -1.5372, -1.687, -1.5936, -1.7767, -1.8509, -1.6756, -1.6756, -1.8355, -1.8355, -1.784, -1.8509];2,0976;39
Random MSM Median: rand:100000;3;13;Coffee;0.01;[-1.3471, -1.3264, -1.4441, -1.5936, -1.6794, -1.8355, -1.7385, -1.8665, -1.808, -1.8433, -1.7943, -1.7553, -1.8242];1,752;375
Random MSM Median: rand:100000;3;13;Coffee;0.01;[-1.3067, -1.5087, -1.5936, -1.6794, -1.7943, -1.8355, -1.7385, -1.8005, -1.8153, -1.8005, -1.8567, -1.8355, -1.7943];1,5166;375
Random MSM Median: rand:100000;3;13;Coffee;0.01;[-1.3264, -1.2718, -1.5087, -1.6144, -1.6794, -1.808, -1.6144, -1.7903, -1.8746, -1.8153, -1.8433, -1.8509, -1.8665];1,8397;375
Random MSM Median: rand:1000000;3;13;Coffee;0.01;[-1.3067, -1.3067, -1.3067, -1.3715, -1.3715, -1.4345, -1.3693, -1.5372, -1.5936, -1.6144, -1.8746, -1.8242, -1.8746];1,6078;3820
Random MSM Median: rand:1000000;3;13;Coffee;0.01;[-1.3264, -1.3715, -1.3471, -1.5936, -1.687, -1.6756, -1.7553, -1.8746, -1.8567, -1.7943, -1.7767, -1.808, -1.8509];1,5312;3943
Random MSM Median: rand:1000000;3;13;Coffee;0.01;[-1.148, -1.2718, -1.3067, -1.3715, -1.4345, -1.5992, -1.6756, -1.8433, -1.7252, -1.8746, -1.8665, -1.808, -1.8567];1,6538;3798
Random MSM Median: rand:10000;3;13;ECG200;1.0;[-1.0855, -1.2725, -1.0251, -0.50549, -1.0855, -1.3466, -0.8997, -1.5397, -1.0251, -1.2725, -1.7634, -1.198, -1.1539];13,540737;41
Random MSM Median: rand:10000;3;13;ECG200;1.0;[-1.198, -1.0855, -1.2298, -1.0855, -1.0251, -1.3922, -1.1539, -1.3922, -1.1539, -1.5352, -1.7936, -1.5744, -1.202];13,087627;42
Random MSM Median: rand:10000;3;13;ECG200;1.0;[-1.0251, -0.8997, -1.2298, -1.0441, -1.4239, -1.0602, -1.2767, -1.2298, -1.2874, -1.198, -1.7634, -1.8094, -1.2298];13,699427;42
Random MSM Median: rand:100000;3;13;ECG200;1.0;[-0.8997, -1.2767, -1.1301, -1.0361, -1.6888, -1.2874, -1.0327, -1.3922, -1.0251, -1.5397, -1.7989, -1.0602, -1.202];12,896727;448
Random MSM Median: rand:100000;3;13;ECG200;1.0;[-1.0361, -0.9816, -1.2725, -0.87096, -1.1539, -1.1539, -1.1402, -1.5397, -1.0251, -1.202, -1.5352, -1.5397, -1.2725];13,040367;431
Random MSM Median: rand:100000;3;13;ECG200;1.0;[-1.0361, -1.2725, -1.2725, -1.0441, -1.0441, -1.4239, -1.0855, -1.2298, -1.0361, -1.5352, -1.7936, -1.0602, -1.198];13,077727;425
Random MSM Median: rand:1000000;3;13;ECG200;1.0;[-1.0361, -1.0327, -1.3466, -1.0327, -1.2874, -1.2298, -1.0441, -1.4239, -1.2874, -1.2874, -1.6888, -1.4239, -1.0441];12,553827;4292
Random MSM Median: rand:1000000;3;13;ECG200;1.0;[-1.0327, -1.0327, -0.71089, -1.1301, -1.3466, -1.2767, -1.0361, -1.5397, -1.2767, -1.3466, -1.7634, -1.4239, -1.202];12,728037;4290
Random MSM Median: rand:1000000;3;13;ECG200;1.0;[-0.82392, -1.0441, -1.6888, -0.9816, -1.2298, -1.2874, -1.2298, -1.3922, -1.2725, -1.3466, -1.7936, -1.0441, -1.1301];12,738127;4302
Random MSM Median: rand:10000;3;13;FaceAll;1.0;[0.091358, -0.19872, -0.26543, -0.40942, -0.29662, -0.19872, -0.088953, 0.22212, -0.1329, -0.19872, -0.40942, -0.29662, -0.20099];13,154289;42
Random MSM Median: rand:10000;3;13;FaceAll;1.0;[-0.14038, -0.21641, -0.15542, -0.36105, -0.2944, -0.26543, -0.075739, -0.0059818, -0.1359, -0.41019, -0.36105, -0.042934, -0.088953];12,656864;42
Random MSM Median: rand:10000;3;13;FaceAll;1.0;[-0.48787, -0.14038, -0.26543, -0.19872, -0.21641, -0.075739, 0.30101, -0.075739, -0.20099, -0.42054, -0.29662, -0.042934, 0.22212];12,904534;42
Random MSM Median: rand:100000;3;13;FaceAll;1.0;[-0.0059818, -0.2944, -0.075739, -0.26543, -0.075739, -0.29662, 0.30147, 0.018735, -0.15542, -0.19872, -0.41019, -0.088953, -0.042934];12,45963;451
Random MSM Median: rand:100000;3;13;FaceAll;1.0;[-0.15542, -0.14038, -0.14038, -0.29662, -0.21591, -0.2944, 0.091358, 0.091358, -0.2944, -0.20099, -0.14038, -0.21591, -0.21591];12,611638;431
Random MSM Median: rand:100000;3;13;FaceAll;1.0;[-0.20099, -0.088953, -0.21591, -0.2944, -0.21591, 0.018735, 0.16472, -0.0059818, -0.40942, -0.51602, -0.48787, -0.40942, -0.0059818];12,74164;431
Random MSM Median: rand:1000000;3;13;FaceAll;1.0;[-0.056677, -0.21641, -0.29662, -0.26543, -0.26543, -0.36105, 0.22212, 0.091358, -0.19872, -0.14038, -0.36105, -0.15542, 0.018735];12,519908;4349
Random MSM Median: rand:1000000;3;13;FaceAll;1.0;[-0.14038, -0.21591, -0.075739, -0.26543, -0.042934, -0.1329, 0.30101, 0.11306, -0.15542, -0.14038, -0.48787, -0.14038, -0.042934];12,232039;4353
Random MSM Median: rand:1000000;3;13;FaceAll;1.0;[-0.1359, -0.088953, -0.21591, -0.20099, -0.14038, -0.26543, 0.30101, 0.2251, -0.14038, -0.2944, -0.29662, -0.20099, -0.20099];12,376305;4368
Random MSM Median: rand:10000;3;13;FaceFour;1.0;[-0.70664, -0.81835, -0.81835, -0.51222, -0.61235, -0.41076, -0.1944, -0.39636, -0.41076, -0.49983, -0.39636, -0.19349, -0.49983];7,708928;43
