heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;5647;;;;;;
MSM-Mean Exact;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;5619;;;;;;
MSM-Mean Exact;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;5637;5634,333333;0;0,00%;20,33589;0,00%;
3-MSM-Mean;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;5637;;;;;;
3-MSM-Mean;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;5651;;;;;;
3-MSM-Mean;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;5638;5642;7,666666667;0,14%;20,33589;0,00%;
Buckets MSM-Mean: bucketsize:2;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;0;0;-5634,333333;-100,00%;20,33589;0,00%;
Buckets MSM-Mean: bucketsize:3;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;1;1;-5633,333333;-99,98%;20,33589;0,00%;
Buckets MSM-Mean: bucketsize:4;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;6;;;;;;
Buckets MSM-Mean: bucketsize:4;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;6;;;;;;
Buckets MSM-Mean: bucketsize:4;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;6;6;-5628,333333;-99,89%;20,33589;0,00%;
Buckets MSM-Mean: bucketsize:5;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;15;;;;;;
Buckets MSM-Mean: bucketsize:5;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;16;;;;;;
Buckets MSM-Mean: bucketsize:5;3;17;50words;1.0;[-0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892, 0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723];20,33589;16;15,66666667;-5618,666667;-99,72%;20,33589;0,00%;
