heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19683, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;144757;;;;
MSM-Mean Exact;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19683, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;144982;;;;
MSM-Mean Exact;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19683, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;145167;144968,6667;22,646208;0;
Buckets MSM-Mean: bucketsize:2;4;14;50words;1.0;[-0.38925, -0.2013, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;1;;;;
Buckets MSM-Mean: bucketsize:2;4;14;50words;1.0;[-0.38925, -0.2013, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;1;;;;
Buckets MSM-Mean: bucketsize:2;4;14;50words;1.0;[-0.38925, -0.2013, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;1;1;22,646208;0;
Buckets MSM-Mean: bucketsize:3;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.20288, -0.21988, -0.22919, -0.24159];22,646208;13;;;;
Buckets MSM-Mean: bucketsize:3;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.20288, -0.21988, -0.22919, -0.24159];22,646208;13;;;;
Buckets MSM-Mean: bucketsize:3;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.20288, -0.21988, -0.22919, -0.24159];22,646208;13;13;22,646208;0;
Buckets MSM-Mean: bucketsize:4;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;77;;;;
Buckets MSM-Mean: bucketsize:4;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;77;;;;
Buckets MSM-Mean: bucketsize:4;4;14;50words;1.0;[-0.46799, -0.38925, -0.30438, -0.21059, -0.1988, -0.19646, -0.19444, -0.19444, -0.19914, -0.20288, -0.21124, -0.21988, -0.22919, -0.24159];22,646208;77;77;22,646208;0;
