heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;11;Coffee;0.01;[-0.12806, -0.092605, -0.066005, -0.032841, -0.032841, -0.12321, -0.073956, -0.12321, -0.1123, -0.038413, 0.030384];1,012345;14038;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;11;Coffee;0.01;[-0.2867, -0.085618, -0.02293, -0.085618, -0.032841, -0.073956, -0.096982, -0.12321, -0.12321, -0.096982, 0.030384];0,970009;13276;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;11;Coffee;0.01;[-0.22674, -0.18785, -0.12422, -0.02293, -0.058158, -0.096982, -0.1123, -0.14803, -0.093162, -0.093162, 0.03704];0,762002;14004;13772,66667;13304,66667;2842,8775%;0,914785333;95,0622%
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.074725, -0.058158, -0.032841, -0.052163, -0.13116, -0.12321, -0.054362, 0.030384];0,505117;20;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.085618, -0.11884, -0.14803, -0.054362, 0.031797];0,511956;20;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.085618, -0.11884, -0.14803, -0.13473, -0.054362, 0.030384];0,523369;20;20;448;95,7265%;0,513480667;9,4909%
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.13116, -0.13473, -0.054362, 0.03704];0,493521;206;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.074725, -0.058158, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.03704];0,488947;207;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,475958;228;213,6666667;254,3333333;54,3447%;0,486142;3,6614%
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.058158, -0.032841, -0.052163, -0.11884, -0.14803, -0.054362, 0.031797];0,475958;2142;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.058158, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,475958;2163;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.074725, -0.066005, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,483704;2147;2150,666667;1682,666667;359,5442%;0,47854;2,0404%
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.066248, -0.12321, -0.038413, 0.03704];0,559578;15;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.074725, -0.058158, -0.066248, -0.13116, -0.13473, -0.054362, 0.030384];0,522919;15;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.074725, -0.02293, -0.052163, -0.13116, -0.13473, -0.054362, 0.031797];0,529535;15;15;453;96,7949%;0,537344;14,5794%
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.093162, -0.1123, -0.13473, -0.054362, 0.030384];0,505378;160;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.14037, -0.085618, -0.066248, -0.11884, -0.13473, -0.054362, 0.03704];0,517999;160;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066248, -0.13116, -0.13473, -0.054362, 0.03704];0,524996;155;158,3333333;309,6666667;66,1681%;0,516124333;10,0546%
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.066248, -0.11884, -0.14803, -0.054362, 0.030384];0,501859;1662;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.074725, -0.058158, -0.032841, -0.066248, -0.11884, -0.12321, -0.054362, 0.03704];0,500467;1621;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,507433;1629;1637,333333;1169,333333;249,8575%;0,503253;7,3100%
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.093162, -0.096982, -0.12321, -0.073956, 0.03704];0,57268;12;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.085618, -0.093162, -0.13473, -0.054362, 0.031797];0,542775;12;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.093162, -0.11884, -0.13473, -0.054362, 0.031797];0,539366;12;12;456;97,4359%;0,551607;17,6207%
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.092605, -0.093162, -0.13116, -0.12321, -0.054362, 0.030384];0,533505;122;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.093162, -0.13116, -0.054362, 0.030384];0,536778;127;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.093162, -0.13473, -0.054362, 0.030384];0,540348;127;125,3333333;342,6666667;73,2194%;0,536877;14,4798%
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.092605, -0.058158, -0.032841, -0.066248, -0.11884, -0.17842, -0.054362, 0.031797];0,510188;1284;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.085618, -0.066248, -0.11884, -0.14803, -0.054362, 0.03704];0,509529;1311;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.092605, -0.093162, -0.11884, -0.14803, -0.054362, 0.031797];0,508252;1299;1298;830;177,3504%;0,509323;8,6044%
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.093162, -0.11884, -0.073956, 0.03704];0,606513;10;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.14037, -0.093162, -0.13473, -0.054362, 0.030384];0,590759;10;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.14037, -0.066248, -0.13473, -0.054362, 0.03704];0,606463;10;10;458;97,8632%;0,601245;28,2052%
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.085618, -0.066248, -0.11884, -0.054362, 0.031797];0,546596;108;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.058158, -0.066248, -0.12321, -0.054362, 0.030384];0,544633;108;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.032841, -0.052163, -0.13116, -0.054362, 0.031797];0,550088;106;107,3333333;360,6666667;77,0655%;0,547105667;16,6609%
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.074725, -0.066248, -0.11884, -0.14803, -0.073956, 0.030384];0,532346;1069;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.096982, -0.1123, -0.12321, -0.054362, 0.03704];0,537012;1060;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.085618, -0.066248, -0.11884, -0.14803, -0.054362, 0.03704];0,509529;1071;1066,666667;598,6666667;127,9202%;0,526295667;12,2235%
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.066005, -0.02293, -0.052163, -0.11884, -0.13473, -0.054362, 0.03704];0,491112;25;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.092605, -0.058158, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.030384];0,481211;25;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.058158, -0.02293, -0.066248, -0.11884, -0.13473, -0.054362, 0.030384];0,487282;28;26;442;94,4444%;0,486535;3,7452%
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.030384];0,477371;257;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,475958;255;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,479798;264;258,6666667;209,3333333;44,7293%;0,477709;1,8632%
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,475958;2646;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,475958;2668;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.031797];0,475958;2645;2653;2185;466,8803%;0,475958;1,4899%
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.058158, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.031797];0,523628;17;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.058158, -0.032841, -0.066248, -0.11884, -0.17842, -0.073956, 0.030384];0,527355;17;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.092605, -0.066005, -0.032841, -0.066248, -0.13473, -0.073956, 0.03704];0,546145;17;17;451;96,3675%;0,532376;13,5200%
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.074725, -0.02293, -0.052163, -0.11884, -0.14803, -0.054362, 0.031797];0,517215;191;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.074725, -0.032841, -0.066248, -0.11884, -0.13473, -0.054362, 0.03704];0,516387;179;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.074725, -0.032841, -0.066248, -0.1123, -0.13473, -0.054362, 0.031797];0,517684;177;182,3333333;285,6666667;61,0399%;0,517095333;10,2617%
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.092605, -0.066005, -0.02293, -0.052163, -0.11884, -0.14803, -0.054362, 0.031797];0,489709;1832;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.02293, -0.066248, -0.11884, -0.14803, -0.054362, 0.03704];0,491112;1845;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.1123, -0.13473, -0.054362, 0.031797];0,482498;1846;1841;1373;293,3761%;0,487773;4,0092%
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.052163, -0.12321, -0.054362, 0.03704];0,558344;13;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.092605, -0.052163, -0.12321, -0.054362, 0.031797];0,563928;13;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066248, -0.13473, -0.054362, 0.031797];0,548943;13;13;455;97,2222%;0,557071667;18,7860%
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.058158, -0.12321, -0.054362, 0.030384];0,554633;134;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.052163, -0.11884, -0.14803, -0.054362, 0.03704];0,520404;138;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.11884, -0.14803, -0.054362, 0.030384];0,536382;138;136,6666667;331,3333333;70,7977%;0,537139667;14,5358%
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.092605, -0.066005, -0.11884, -0.14803, -0.054362, 0.031797];0,511273;1429;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.092605, -0.066005, -0.1123, -0.13473, -0.054362, 0.031797];0,517813;1414;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066248, -0.1123, -0.13473, -0.054362, 0.031797];0,513973;1422;1421,666667;953,6666667;203,7749%;0,514353;9,6769%
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.066248, -0.12321, -0.054362, 0.030384];0,586753;11;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;11;Coffee;0.01;[-0.22674, -0.12422, -0.092605, -0.13116, -0.038413, 0.03704];0,597941;10;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.066005, -0.096982, -0.13473, -0.054362, 0.03704];0,576205;10;10,33333333;457,6666667;97,7920%;0,586966333;25,1605%
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.14037, -0.085618, -0.1123, -0.13473, -0.038413, 0.031797];0,569768;111;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;11;Coffee;0.01;[-0.25006, -0.12422, -0.074725, -0.096982, -0.12321, -0.073956, 0.030384];0,574925;112;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.11884, -0.14803, -0.054362, 0.03704];0,540212;113;112;356;76,0684%;0,561635;19,7590%
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066005, -0.1123, -0.13473, -0.073956, 0.030384];0,53498;1144;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.14037, -0.085618, -0.052163, -0.11884, -0.13473, -0.054362, 0.030384];0,528884;1153;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.066248, -0.11884, -0.14803, -0.038413, 0.03704];0,528625;1169;1155,333333;687,3333333;146,8661%;0,530829667;13,1903%
Generic MSM-Mean EA: generations:10000;3;11;Coffee;0.01;[-0.25006, -0.25006, -0.12806, -0.085618, -0.066005, -0.032841, -0.066005, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;25;;;;;
Generic MSM-Mean EA: generations:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.066005, -0.032841, -0.054362, -0.11884, -0.14037, -0.14037, -0.054362, 0.031797];0,478971;25;;;;;
Generic MSM-Mean EA: generations:10000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.066005, -0.032841, -0.066005, -0.11884, -0.14037, -0.14037, -0.054362, 0.031797];0,478971;26;25,33333333;442,6666667;94,5869%;0,478971;2,1323%
Generic MSM-Mean EA: generations:100000;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;254;;;;;
Generic MSM-Mean EA: generations:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.058158, -0.11884, -0.14037, -0.13473, -0.054362, 0.031797];0,478971;255;;;;;
Generic MSM-Mean EA: generations:100000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.058158, -0.11884, -0.14803, -0.13473, -0.054362, 0.031797];0,478971;254;254,3333333;213,6666667;45,6553%;0,478971;2,1323%
Generic MSM-Mean EA: generations:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.058158, -0.11884, -0.14803, -0.14037, -0.054362, 0.031797];0,478971;2544;;;;;
Generic MSM-Mean EA: generations:1000000;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.085618, -0.058158, -0.032841, -0.066005, -0.11884, -0.14803, -0.14037, -0.054362, 0.031797];0,478971;2545;;;;;
Generic MSM-Mean EA: generations:1000000;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.085618, -0.058158, -0.032841, -0.054362, -0.11884, -0.13473, -0.13473, -0.054362, 0.031797];0,478971;2542;2543,666667;2075,666667;443,5185%;0,478971;2,1323%
Buckets MSM-Mean EA: generations:10000, bucketradius: 1;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.074725, -0.058158, -0.032841, -0.066248, -0.096982, -0.1123, -0.14803, -0.054362, 0.031797];0,481787;25;;;;;
Buckets MSM-Mean EA: generations:10000, bucketradius: 1;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.092605, -0.058158, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,485958;25;;;;;
Buckets MSM-Mean EA: generations:10000, bucketradius: 1;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.031797];0,485958;25;25;443;94,6581%;0,484567667;3,3257%
Buckets MSM-Mean EA: generations:100000, bucketradius: 1;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.074725, -0.058158, -0.032841, -0.052163, -0.096982, -0.1123, -0.13473, -0.054362, 0.031797];0,481787;256;;;;;
Buckets MSM-Mean EA: generations:100000, bucketradius: 1;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.031797];0,485958;257;;;;;
Buckets MSM-Mean EA: generations:100000, bucketradius: 1;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.074725, -0.066005, -0.032841, -0.066248, -0.096982, -0.11884, -0.14803, -0.054362, 0.031797];0,481787;256;256,3333333;211,6666667;45,2279%;0,483177333;3,0293%
Buckets MSM-Mean EA: generations:1000000, bucketradius: 1;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.031797];0,485958;2569;;;;;
Buckets MSM-Mean EA: generations:1000000, bucketradius: 1;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.031797];0,485958;2568;;;;;
Buckets MSM-Mean EA: generations:1000000, bucketradius: 1;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.092605, -0.066005, -0.032841, -0.066248, -0.11884, -0.14803, -0.054362, 0.031797];0,485958;2573;2570;2102;449,1453%;0,485958;3,6222%
Buckets MSM-Mean EA: generations:10000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.22674, -0.12806, -0.085618, -0.093162, -0.11884, -0.13473, -0.054362, 0.031797, 0.031797];0,553265;25;;;;;
Buckets MSM-Mean EA: generations:10000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;25;;;;;
Buckets MSM-Mean EA: generations:10000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;25;25;443;94,6581%;0,503735667;7,4130%
Buckets MSM-Mean EA: generations:100000, bucketradius: 2;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.066005, -0.032841, -0.058158, -0.11884, -0.13473, -0.13473, -0.054362, 0.031797];0,485958;256;;;;;
Buckets MSM-Mean EA: generations:100000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.066005, -0.032841, -0.066248, -0.096982, -0.1123, -0.14803, -0.13473, -0.054362, 0.031797];0,519227;256;;;;;
Buckets MSM-Mean EA: generations:100000, bucketradius: 2;3;11;Coffee;0.01;[-0.25006, -0.25006, -0.12806, -0.085618, -0.058158, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;256;256;212;45,2991%;0,494718667;5,4902%
Buckets MSM-Mean EA: generations:1000000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;2566;;;;;
Buckets MSM-Mean EA: generations:1000000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.052163, -0.11884, -0.13473, -0.054362, 0.031797];0,478971;2566;;;;;
Buckets MSM-Mean EA: generations:1000000, bucketradius: 2;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.074725, -0.066005, -0.032841, -0.066005, -0.096982, -0.1123, -0.14803, -0.054362, 0.031797];0,481787;2565;2565,666667;2097,666667;448,2194%;0,479909667;2,3325%
Buckets MSM-Mean EA: generations:10000, bucketradius: 3;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.058158, -0.11884, -0.14803, -0.13473, -0.054362, 0.031797];0,518293;25;;;;;
Buckets MSM-Mean EA: generations:10000, bucketradius: 3;3;11;Coffee;0.01;[-0.22674, -0.2209, -0.2209, -0.12806, -0.085618, -0.058158, -0.052163, -0.11884, -0.14803, -0.054362, 0.031797];0,524133;25;;;;;
Buckets MSM-Mean EA: generations:10000, bucketradius: 3;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.066005, -0.032841, -0.058158, -0.11884, -0.13473, -0.13473, -0.054362, 0.031797];0,485958;25;25;443;94,6581%;0,509461333;8,6339%
Buckets MSM-Mean EA: generations:100000, bucketradius: 3;3;11;Coffee;0.01;[-0.22674, -0.12806, -0.092605, -0.058158, -0.032841, -0.066005, -0.11884, -0.13473, -0.13473, -0.054362, 0.031797];0,485958;256;;;;;
Buckets MSM-Mean EA: generations:100000, bucketradius: 3;3;11;Coffee;0.01;[-0.25006, -0.12806, -0.092605, -0.066005, -0.032841, -0.058158, -0.11884, -0.13473, -0.13473, -0.054362, 0.031797];0,485958;256;;;;;
Buckets MSM-Mean EA: generations:100000, bucketradius: 3;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.22674, -0.12806, -0.085618, -0.058158, -0.058158, -0.11884, -0.13473, -0.054362, 0.031797];0,524133;256;256;212;45,2991%;0,498683;6,3356%
Buckets MSM-Mean EA: generations:1000000, bucketradius: 3;3;11;Coffee;0.01;[-0.25006, -0.22674, -0.12806, -0.085618, -0.058158, -0.032841, -0.066005, -0.11884, -0.14803, -0.054362, 0.031797];0,478971;2568;;;;;
Buckets MSM-Mean EA: generations:1000000, bucketradius: 3;3;11;Coffee;0.01;[-0.22674, -0.2209, -0.2209, -0.12806, -0.085618, -0.066005, -0.032841, -0.054362, -0.12321, -0.054362, 0.031797];0,532751;2564;;;;;
Buckets MSM-Mean EA: generations:1000000, bucketradius: 3;3;11;Coffee;0.01;[-0.22674, -0.22674, -0.12806, -0.085618, -0.066005, -0.032841, -0.058158, -0.11884, -0.14803, -0.054362, 0.031797];0,478971;2568;2566,666667;2098,666667;448,4330%;0,496897667;5,9549%
MSM-Mean Exact;3;11;ECG200;1.0;[-1.7266, -1.7266, -1.7266, -1.7266, -1.6618, -1.3425, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];24,936963;467;;;;;
MSM-Mean Exact;3;11;ECG200;1.0;[-1.7266, -1.7266, -1.7266, -1.7266, -1.6618, -1.3425, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];24,936963;485;;;;;
MSM-Mean Exact;3;11;ECG200;1.0;[-1.7266, -1.7266, -1.7266, -1.7266, -1.6618, -1.3425, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];24,936963;466;472,6666667;0;0,0000%;24,936963;0,0000%
3-MSM-Mean;3;11;ECG200;1.0;[-1.7266, -1.7266, -1.7266, -1.7266, -1.6618, -1.3425, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];24,936963;468;;;;;
3-MSM-Mean;3;11;ECG200;1.0;[-1.7266, -1.7266, -1.7266, -1.7266, -1.6618, -1.3425, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];24,936963;465;;;;;
3-MSM-Mean;3;11;ECG200;1.0;[-1.7266, -1.7266, -1.7266, -1.7266, -1.6618, -1.3425, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];24,936963;468;467;5,666666667;1,1989%;24,936963;0,0000%
Buckets MSM-Mean: bucketsize:2;3;11;ECG200;1.0;[-1.6493, -1.7266, -1.6084, -1.6628, -1.6507, -1.6507, -1.0113, -0.67272, -0.21616, 0.052872, 0.56209];25,075823;0;;;;;
