heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;11;50words;1.0;[1.2245, 0.65994, 1.0726, 0.87865, 0.78214, 1.2386, 0.60983, 0.60983, 1.0293, 0.82483, 1.2135];18,000124;6101;5208,333333;4756,666667;1053,1365%;18,23316067;15,8212%
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;11;50words;1.0;[0.42319, 0.87865, 0.99568, 0.18637, 0.78214, 0.78214, 0.50658, 1.4852, 0.82483, 1.8066, 1.2135];18,710264;49;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;11;50words;1.0;[0.87865, 0.65994, 1.2245, 0.18637, -0.0038959, 0.89246, 0.50658, 1.4852, 1.5787, 1.2135, -0.16563];21,92253;36;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;11;50words;1.0;[0.65994, 1.1037, 0.87865, 0.89246, 0.78214, 1.3741, 0.82483, 0.33847, 0.39387, 1.8066, 1.0293];19,270304;51;45,33333333;-406,3333333;-89,9631%;19,96769933;26,8394%
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;11;50words;1.0;[0.65994, 1.1037, 0.99568, 0.65608, 0.65608, 1.0726, 0.60983, 0.1629, 0.82483, 1.0293, 1.2135];18,220324;544;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;11;50words;1.0;[0.42319, 0.99568, 0.99568, 0.78214, 0.65608, 0.18637, 0.82483, 0.60983, 0.60983, 1.0293, 1.733];17,954114;363;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;11;50words;1.0;[0.65994, 0.42319, 0.99568, 1.0726, 1.0726, 0.65608, 0.50658, 0.60983, 0.39387, 1.733, 1.2135];17,938294;466;457,6666667;6;1,3284%;18,03757733;14,5788%
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;11;50words;1.0;[0.65994, 0.65994, 0.87865, -0.0038959, 0.78214, 0.78214, 0.82483, 0.60983, 0.50658, 1.0293, 1.2135];17,63817;6059;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;11;50words;1.0;[0.42319, 0.65994, 1.1037, 0.78214, 1.2386, 0.65608, 0.60983, 0.33847, 0.82483, 1.0293, 1.2135];17,124984;5767;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;11;50words;1.0;[1.1037, 0.87865, 0.87865, 0.89246, 0.78214, 1.3741, 0.50658, 0.50658, 0.60983, 1.2135, 1.733];18,381694;4330;5385,333333;4933,666667;1092,3247%;17,71494933;12,5294%
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;11;50words;1.0;[1.0726, 0.99568, 0.99568, 0.89246, 0.65608, 0.33847, 0.60983, 0.50658, 1.2135, 0.82483, 1.2135];18,087994;52;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;11;50words;1.0;[1.2245, 1.1037, 0.87865, 0.99568, 0.78214, 0.65608, 1.4852, 0.33847, 1.2135, 1.2135, 1.2135];18,913644;56;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;11;50words;1.0;[0.89246, 1.0726, 0.87865, 1.2245, 1.3741, 0.39387, 0.65608, 0.33847, -0.0096985, 0.82483, 1.0293];20,3747;62;56,66666667;-395;-87,4539%;19,125446;21,4892%
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;11;50words;1.0;[-0.16808, 0.42319, 0.65994, 1.1037, 0.78214, -0.0038959, 0.18637, 0.60983, 0.1629, 0.82483, 1.8066];20,297892;565;;;;;
