heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
Buckets MSM-Mean: bucketsize:4;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;10;10;-99540,33333;-99,99%;28,24806;0,00%;
Buckets MSM-Mean: bucketsize:5;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;26;;;;;;
Buckets MSM-Mean: bucketsize:5;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;26;;;;;;
Buckets MSM-Mean: bucketsize:5;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375, -0.70269, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.69138];28,24806;26;26;-99524,33333;-99,97%;28,24806;0,00%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;28;50words;1.0;[-0.64944, -0.60734, -0.68914, -0.76646, -0.75111, -0.77102, -0.80158, -0.78907, -0.82374, -0.72476, -0.82926, -0.82926, -0.84361, -0.84646, -0.85335, -0.85335, -0.13208, -0.70519, -0.85653, -0.70283, -0.70375, -0.70375, -0.70194, -0.70244, -0.70193, -0.69913, -0.69488, -0.82232];30,3152;95;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;28;50words;1.0;[-0.60734, -0.60734, -0.72084, -0.77321, -0.75907, -0.75907, -0.80158, -0.78907, -0.81462, -0.72476, -0.72014, -0.72014, -0.84361, -0.71263, -0.85335, -0.85046, -0.70519, -0.11622, -0.70283, -0.11122, -0.70269, -0.70269, -0.83971, -0.70194, -0.83013, -0.69913, -0.81317, -0.69138];30,656149;106;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;28;50words;1.0;[-0.60734, -0.78713, -0.68914, -0.76646, -0.75111, -0.77102, -0.78907, -0.74477, -0.81462, -0.73203, -0.71632, -0.82926, -0.84646, -0.70847, -0.70663, -0.70598, -0.70519, -0.70519, -0.8551, -0.85653, -0.851, -0.85318, -0.70194, -0.70194, -0.70193, -0.70193, -0.69488, -0.69138];29,48264;97;99,33333333;-99451;-99,90%;30,15132967;6,74%;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;28;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.68914, -0.75111, -0.74642, -0.7386, -0.80158, -0.82374, -0.81462, -0.82926, -0.82926, -0.84646, -0.84646, -0.70598, -0.85046, -0.8547, -0.85325, -0.11122, -0.70349, -0.851, -0.70375, -0.70244, -0.83971, -0.69913, -0.83013, -0.81317, -0.69488];30,67576;918;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;28;50words;1.0;[-0.64944, -0.60734, -0.68914, -0.72084, -0.77102, -0.77102, -0.7386, -0.78907, -0.73203, -0.73203, -0.82926, -0.82926, -0.70847, -0.84361, -0.70663, -0.70663, -0.70519, -0.13208, -0.85653, -0.70283, -0.85318, -0.70269, -0.83971, -0.83971, -0.70193, -0.70193, -0.69138, -0.69138];29,983029;1217;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;28;50words;1.0;[-0.60734, -0.78713, -0.72084, -0.68914, -0.75907, -0.77102, -0.7386, -0.7386, -0.72476, -0.81462, -0.83723, -0.72014, -0.84361, -0.70847, -0.70663, -0.85335, -0.70339, -0.11622, -0.70349, -0.12992, -0.70269, -0.70375, -0.83971, -0.70194, -0.69913, -0.69913, -0.69488, -0.69138];30,353;900;1011,666667;-98538,66667;-98,98%;30,337263;7,40%;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;28;50words;1.0;[-0.64944, -0.64944, -0.76646, -0.72084, -0.74642, -0.74642, -0.78907, -0.78907, -0.72476, -0.73203, -0.83723, -0.71632, -0.70847, -0.84646, -0.70598, -0.85335, -0.70519, -0.11622, -0.8551, -0.70283, -0.851, -0.851, -0.70244, -0.70194, -0.70193, -0.69913, -0.69138, -0.69138];29,97656;13059;;;;;;
