heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;26;50words;1.0;[0.88026, 0.75705, 0.63776, 0.52154, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.20165, -0.1988, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];50,777135;63140;;;;;;
MSM-Mean Exact;3;26;50words;1.0;[0.88026, 0.75705, 0.63776, 0.52154, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.20165, -0.1988, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];50,777135;63164;;;;;;
MSM-Mean Exact;3;26;50words;1.0;[0.88026, 0.75705, 0.63776, 0.52154, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.20165, -0.1988, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];50,777135;63157;63153,66667;0;0,00%;50,777135;0,00%;
3-MSM-Mean;3;26;50words;1.0;[0.88026, 0.75705, 0.63776, 0.52154, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.20165, -0.1988, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];50,777135;62950;;;;;;
3-MSM-Mean;3;26;50words;1.0;[0.88026, 0.75705, 0.63776, 0.52154, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.20165, -0.1988, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];50,777135;63085;;;;;;
3-MSM-Mean;3;26;50words;1.0;[0.88026, 0.75705, 0.63776, 0.52154, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.20165, -0.1988, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];50,777135;62966;63000,33333;-153,3333333;-0,24%;50,777135;0,00%;
Buckets MSM-Mean: bucketsize:2;3;26;50words;1.0;[0.75705, 0.63776, 0.30946, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,51566;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;26;50words;1.0;[0.75705, 0.63776, 0.30946, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,51566;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;26;50words;1.0;[0.75705, 0.63776, 0.30946, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,51566;0;0;-63153,66667;-100,00%;51,51566;1,45%;
Buckets MSM-Mean: bucketsize:3;3;26;50words;1.0;[0.75705, 0.4105, 0.2178, 0.1357, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,756343;2;;;;;;
Buckets MSM-Mean: bucketsize:3;3;26;50words;1.0;[0.75705, 0.4105, 0.2178, 0.1357, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,756343;2;;;;;;
Buckets MSM-Mean: bucketsize:3;3;26;50words;1.0;[0.75705, 0.4105, 0.2178, 0.1357, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,756343;2;2;-63151,66667;-100,00%;51,756343;1,93%;
Buckets MSM-Mean: bucketsize:4;3;26;50words;1.0;[0.75705, 0.4105, 0.30946, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,755473;9;;;;;;
Buckets MSM-Mean: bucketsize:4;3;26;50words;1.0;[0.75705, 0.4105, 0.30946, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,755473;9;;;;;;
Buckets MSM-Mean: bucketsize:4;3;26;50words;1.0;[0.75705, 0.4105, 0.30946, 0.065827, 0.0046436, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];51,755473;9;9;-63144,66667;-99,99%;51,755473;1,93%;
Buckets MSM-Mean: bucketsize:5;3;26;50words;1.0;[0.75705, 0.30946, 0.2178, 0.1357, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];52,004379;26;;;;;;
Buckets MSM-Mean: bucketsize:5;3;26;50words;1.0;[0.75705, 0.30946, 0.2178, 0.1357, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];52,004379;26;;;;;;
Buckets MSM-Mean: bucketsize:5;3;26;50words;1.0;[0.75705, 0.30946, 0.2178, 0.1357, -0.050112, -0.095075, -0.13226, -0.16306, -0.18265, -0.19389, -0.2013, -0.20165, -0.19899, -0.1132, -0.010807, 0.094843, 0.20317, 0.32162, 0.3249, 0.25892];52,004379;26;26;-63127,66667;-99,96%;52,004379;2,42%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;26;50words;1.0;[0.75705, 0.75705, 0.63776, 0.52154, 0.30946, 0.30946, 0.2178, -1.0083, 0.065827, 0.0046436, -0.095075, -0.75491, -0.13226, -0.16306, -0.19389, -0.18265, 0.91882, -0.2013, -0.1132, -0.19899, -0.19444, 0.094843, 0.39279, -0.19914, 0.45414, 0.45414];55,74399;119;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;26;50words;1.0;[0.88026, -0.97084, 0.63776, -1.0197, 0.30946, 0.30946, 0.2178, 0.1357, -0.89721, 0.0046436, -0.050112, -0.095075, -0.13226, -0.61239, -0.46799, -0.19389, -0.20165, -0.2013, -0.1132, -0.1988, 0.62818, 0.54345, 0.46526, -0.19683, 0.45414, -0.20288];58,245896;116;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;26;50words;1.0;[0.88026, 2.5981, 0.52154, 0.63776, 0.30946, 0.4105, 0.2178, 0.1357, 0.0046436, -0.89721, -0.095075, -0.095075, -0.13226, -0.61239, -0.18265, -0.46799, 0.91882, -0.38925, -0.1988, 0.81372, -0.010807, 0.094843, 0.46526, -0.19914, -0.21124, 0.25892];60,20185;114;116,3333333;-63037,33333;-99,82%;58,063912;14,35%;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;26;50words;1.0;[0.75705, -0.97084, -1.0396, -1.0197, 0.4105, 0.30946, -1.0083, 0.1357, 0.0046436, 0.065827, -0.050112, -0.050112, -0.68379, -0.16306, 1.152, -0.18265, -0.38925, -0.20165, -0.19899, -0.19899, -0.19646, 0.54345, 0.39279, -0.19683, -0.20288, -0.21124];60,631336;1262;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;26;50words;1.0;[0.75705, 0.75705, 0.63776, 0.63776, 0.4105, 0.30946, 0.2178, 0.1357, 0.065827, 0.0046436, -0.050112, -0.095075, -0.16306, -0.16306, -0.46799, -0.46799, -0.38925, 0.91882, -0.1988, -0.21059, 0.54345, 0.54345, -0.19914, 0.46526, -0.21124, 0.45414];55,414461;1123;;;;;;
