heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;3972;;;;;;
MSM-Mean Exact;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;3990;;;;;;
MSM-Mean Exact;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;4003;3988,333333;0;0,00%;9,082913;0,00%;
3-MSM-Mean;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;3987;;;;;;
3-MSM-Mean;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;4017;;;;;;
3-MSM-Mean;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;4003;4002,333333;14;0,35%;9,082913;0,00%;
Buckets MSM-Mean: bucketsize:2;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;0;0;-3988,333333;-100,00%;9,082913;0,00%;
Buckets MSM-Mean: bucketsize:3;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;1;1;-3987,333333;-99,97%;9,082913;0,00%;
Buckets MSM-Mean: bucketsize:4;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;6;;;;;;
Buckets MSM-Mean: bucketsize:4;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;6;;;;;;
Buckets MSM-Mean: bucketsize:4;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;6;6;-3982,333333;-99,85%;9,082913;0,00%;
Buckets MSM-Mean: bucketsize:5;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;15;;;;;;
Buckets MSM-Mean: bucketsize:5;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;15;;;;;;
Buckets MSM-Mean: bucketsize:5;3;16;50words;1.0;[-0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295];9,082913;15;15;-3973,333333;-99,62%;9,082913;0,00%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;16;50words;1.0;[-0.70681, -0.598, -0.61202, -0.61202, -0.62404, -0.61767, -0.80675, -0.63368, -0.63123, -0.81859, -0.62446, -0.61098, -0.59001, -0.37929, -0.52754, -0.79947];10,209803;89;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;16;50words;1.0;[-0.59057, -0.59057, -0.60553, -0.60553, -0.61767, -0.61767, -0.6301, -0.79904, -0.63123, -0.63404, -0.62446, -0.61098, -0.56179, -0.59001, -0.48607, -0.52754];9,406683;75;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;16;50words;1.0;[-0.70681, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.6301, -0.81274, -0.63404, -0.61098, -0.8218, -0.4201, -0.81255, -0.48607, -0.7802];10,358133;85;83;-3905,333333;-97,92%;9,991539667;10,00%;
