heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;10363;;;;;;
MSM-Mean Exact;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;10406;;;;;;
MSM-Mean Exact;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;10377;10382;0;0,00%;21,06908;0,00%;
3-MSM-Mean;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;10379;;;;;;
3-MSM-Mean;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;10371;;;;;;
3-MSM-Mean;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;10380;10376,66667;-5,333333333;-0,05%;21,06908;0,00%;
Buckets MSM-Mean: bucketsize:2;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;0;0;-10382;-100,00%;21,06908;0,00%;
Buckets MSM-Mean: bucketsize:3;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;1;1;-10381;-99,99%;21,06908;0,00%;
Buckets MSM-Mean: bucketsize:4;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;6;;;;;;
Buckets MSM-Mean: bucketsize:4;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;6;;;;;;
Buckets MSM-Mean: bucketsize:4;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;6;6;-10376;-99,94%;21,06908;0,00%;
Buckets MSM-Mean: bucketsize:5;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;16;;;;;;
Buckets MSM-Mean: bucketsize:5;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;16;;;;;;
Buckets MSM-Mean: bucketsize:5;3;19;50words;1.0;[-0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188];21,06908;17;16,33333333;-10365,66667;-99,84%;21,06908;0,00%;
