heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;147039;;;;;;
MSM-Mean Exact;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;147443;;;;;;
MSM-Mean Exact;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;146867;147116,3333;0;0,00%;33,686738;0,00%;
3-MSM-Mean;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;146875;;;;;;
3-MSM-Mean;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;147025;;;;;;
3-MSM-Mean;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;147476;147125,3333;9;0,01%;33,686738;0,00%;
Buckets MSM-Mean: bucketsize:2;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;0;0;-147116,3333;-100,00%;33,686738;0,00%;
Buckets MSM-Mean: bucketsize:3;3;30;50words;1.0;[-0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476, -0.040994, -0.064514, -0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703];33,686738;2;;;;;;
