heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;17;50words;1.0;[0.1384, 0.10099, 0.066297, 0.032644, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756];60,869447;536711;;;;
MSM-Mean Exact;4;17;50words;1.0;[0.1384, 0.10099, 0.066297, 0.032644, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756];60,869447;537948;;;;
MSM-Mean Exact;4;17;50words;1.0;[0.1384, 0.10099, 0.066297, 0.032644, 0.10223, 0.1994, 0.29639, 0.37582, 0.28756];60,869447;538945;537868;60,869447;0;
Buckets MSM-Mean: bucketsize:2;4;17;50words;1.0;[0.1384, 0.066297, 0.0013501, -0.051357, 1.2539, 1.2539, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];62,977793;1;;;;
Buckets MSM-Mean: bucketsize:2;4;17;50words;1.0;[0.1384, 0.066297, 0.0013501, -0.051357, 1.2539, 1.2539, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];62,977793;1;;;;
Buckets MSM-Mean: bucketsize:2;4;17;50words;1.0;[0.1384, 0.066297, 0.0013501, -0.051357, 1.2539, 1.2539, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];62,977793;1;1;62,977793;0,03463718;
Buckets MSM-Mean: bucketsize:3;4;17;50words;1.0;[0.1384, 0.032644, -0.051357, -0.068617, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];61,688525;17;;;;
Buckets MSM-Mean: bucketsize:3;4;17;50words;1.0;[0.1384, 0.032644, -0.051357, -0.068617, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];61,688525;17;;;;
Buckets MSM-Mean: bucketsize:3;4;17;50words;1.0;[0.1384, 0.032644, -0.051357, -0.068617, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];61,688525;17;17;61,688525;0,013456308;
Buckets MSM-Mean: bucketsize:4;4;17;50words;1.0;[0.1384, 0.0013501, 1.2539, 1.2539, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];61,616868;103;;;;
Buckets MSM-Mean: bucketsize:4;4;17;50words;1.0;[0.1384, 0.0013501, 1.2539, 1.2539, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];61,616868;103;;;;
Buckets MSM-Mean: bucketsize:4;4;17;50words;1.0;[0.1384, 0.0013501, 1.2539, 1.2539, -0.038255, 0.019398, 0.70163, 0.1994, 0.29639, 0.37582, 0.42825];61,616868;103;103;61,616868;0,012279083;
Buckets MSM-Mean: bucketsize:5;4;17;50words;1.0;[0.1384, -0.027194, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.42825];61,172714;373;;;;
Buckets MSM-Mean: bucketsize:5;4;17;50words;1.0;[0.1384, -0.027194, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.42825];61,172714;371;;;;
Buckets MSM-Mean: bucketsize:5;4;17;50words;1.0;[0.1384, -0.027194, -0.038255, 0.019398, 0.10223, 0.1994, 0.29639, 0.37582, 0.42825];61,172714;371;371,6666667;61,172714;0,004982253;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;17;50words;1.0;[0.1384, 0.10099, 2.1047, 2.3663, 1.8298, 1.8298, 1.5356, -0.051357, 1.2539, 1.2539, 0.019398, -0.038255, 0.10223, 0.10223, -0.83094, 0.29639, -0.83057];70,28683;105;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;17;50words;1.0;[2.4339, 2.4339, 2.2156, 2.1047, 1.9732, 1.8298, 1.6821, 1.5356, 1.2539, 1.2539, 1.1168, 0.019398, 1.5418, 0.84133, 0.29639, 0.42341, 1.0607];65,640859;113;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;17;50words;1.0;[2.2983, 2.3474, 2.1047, 2.2156, 1.9732, 1.9732, -0.051357, -0.068954, 1.2539, -0.068617, 0.019398, -0.038255, 0.10223, 0.10223, 0.29639, 0.29639, 0.28756];63,821783;113;110,3333333;66,58315733;0,093868281;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;17;50words;1.0;[2.4339, 2.4505, 2.1047, 2.1047, 1.8298, 1.8298, -0.051357, -0.068954, -0.068617, -0.068617, 1.1168, 0.019398, 1.5418, 0.10223, 0.5619, 1.2867, 0.42825];66,833442;1228;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;17;50words;1.0;[2.2983, 2.2983, 2.2156, 2.1047, 1.9732, 1.8298, 1.5356, 1.5356, 1.2539, 1.2539, 0.019398, 1.1168, 1.4141, 0.70163, 0.42341, 0.42341, 1.0607];65,343229;1107;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;17;50words;1.0;[2.2983, 2.3474, 2.2156, 2.2156, 1.9732, 1.8298, 1.6821, 1.6821, -0.076884, -0.068617, 0.019398, -0.038255, 0.84133, 1.4141, 0.42341, 0.5619, 0.28756];63,655702;1235;1190;65,27745767;0,072417459;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;17;50words;1.0;[2.4339, 2.3474, 2.4039, 2.1047, 1.8298, 0.0013501, 1.5356, 1.5356, 1.3929, -0.068617, 0.97972, 1.1168, 0.10223, 0.70163, -0.83094, 0.42341, -0.83057];68,992048;14153;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;17;50words;1.0;[2.3474, 2.3474, 2.4039, 2.2156, 1.8298, 1.9732, -0.051357, -0.068954, 1.3929, -0.076884, 1.1168, 1.1168, 0.84133, 1.5418, 1.1688, 1.1688, -0.83057];71,14822;12229;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;17;50words;1.0;[2.4339, 2.3474, 2.3663, 2.3663, 1.9732, 1.9732, 1.5356, 1.5356, -0.076884, -0.076884, 0.97972, -0.038255, 0.10223, 1.4141, 0.42341, 0.29639, -0.83057];66,677513;12661;13014,33333;68,93926033;0,132575762;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;17;50words;1.0;[2.3474, 2.4505, 2.2983, 2.1047, 1.9732, 1.9732, 1.5356, 1.5356, 2.0402, 1.6697, 1.6697, 0.97972, 0.84133, -0.83094, 0.1994, -0.83057, -0.83057];70,743292;135;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;17;50words;1.0;[2.3474, 2.3474, 0.10099, 2.1047, 1.9732, 0.032644, -0.068954, -0.068954, -0.076884, 1.1168, 0.97972, -0.068617, 0.10223, 1.5418, 0.1994, 0.42825, -0.83057];69,903381;129;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;17;50words;1.0;[2.2156, 2.4505, 2.4339, 2.3255, 2.1047, 1.8298, 1.5356, 2.1407, 1.6821, 0.97972, 0.97972, -0.8279, -0.83086, 0.1994, 1.5418, -0.83057, -0.83057];73,739736;117;127;71,46213633;0,174023091;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;17;50words;1.0;[2.2156, 2.3474, 0.10099, 1.9732, 2.1047, 1.8298, 1.5356, 2.0402, -0.076884, -0.038255, -0.038255, 1.1168, -0.83086, 0.1994, 1.4141, 1.1688, 1.1688];73,414658;1095;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;17;50words;1.0;[2.2983, 2.3474, 2.4339, 1.8298, 2.1047, 1.8298, 1.5356, -0.076884, -0.068954, -0.82896, -0.038255, 0.97972, 0.1994, -0.83086, 1.4141, 1.0607, 0.42825];70,236714;1444;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;17;50words;1.0;[2.4339, 2.4039, 2.2983, 2.3255, 2.2801, 2.2801, -0.068954, 1.3929, -0.068954, 1.2539, 1.1168, -0.038255, 0.5619, 1.2867, 0.1994, 1.0607, 0.42341];67,212324;1312;1283,666667;70,28789867;0,154732006;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;17;50words;1.0;[2.4339, 2.4505, 2.2983, 2.1047, 1.9732, 0.0013501, 2.1407, 2.1407, -0.051357, 1.1168, 0.019398, -0.038255, 0.29639, 0.10223, 1.4141, -0.83057, 0.37582];70,15651;11920;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;17;50words;1.0;[2.4505, 2.4505, 0.066297, 2.2801, 2.3255, 1.9732, 1.3929, -0.076884, -0.068954, 1.1168, 1.2539, 1.1168, 0.5619, 0.84133, -0.83094, 0.37582, 1.1688];71,165093;13225;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;17;50words;1.0;[2.3474, 2.2983, 2.2983, 2.2801, 1.9732, 0.032644, -0.076884, 2.0402, -0.051357, -0.038255, -0.038255, 0.97972, 0.70163, 0.5619, 0.70163, 1.0607, 1.1688];67,939133;12237;12460,66667;69,75357867;0,145953875;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;4;17;50words;1.0;[2.3663, 2.2156, 2.4039, 2.4039, -0.027194, -0.051357, 0.0013501, 1.6821, 1.1168, 1.1168, 1.6697, -0.076884, 0.5619, 0.70163, 0.42341, 0.37582, -0.83057];69,510068;186;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;4;17;50words;1.0;[2.4339, 2.4039, 2.2983, 2.2983, 1.9732, 2.3255, 2.1407, -0.027194, -0.068617, -0.038255, -0.076884, 1.2539, 0.5619, 0.42341, 1.1688, 0.29639, 0.42825];66,304086;176;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;4;17;50words;1.0;[2.2983, 2.2983, 2.2156, -0.81852, 2.22, 2.3255, 1.8298, -0.027194, 1.798, 0.97972, -0.038255, -0.076884, 0.42341, 1.1688, 1.1688, 0.70163, 0.42825];71,262621;180;180,6666667;69,02559167;0,133994065;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;4;17;50words;1.0;[0.10099, 0.10099, -0.81891, -0.81852, -0.068954, 1.5356, 0.0013501, -0.027194, 1.9226, -0.076884, -0.076884, -0.068617, 0.42341, 0.29639, 0.70163, 1.4141, 0.42825];72,423972;1761;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;4;17;50words;1.0;[2.1047, 2.4339, 2.2983, 2.3663, -0.027194, 1.6821, -0.027194, -0.068954, 1.6697, -0.076884, 0.019398, 1.2539, 0.37582, 0.29639, -0.83094, 0.70163, 0.28756];69,687676;1695;;;;
