heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;27197;;;;
MSM-Mean Exact;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;27258;;;;
MSM-Mean Exact;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;27381;27278,66667;14,143057;0;
Buckets MSM-Mean: bucketsize:2;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;0;;;;
Buckets MSM-Mean: bucketsize:2;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;0;;;;
Buckets MSM-Mean: bucketsize:2;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;0;0;14,143057;0;
Buckets MSM-Mean: bucketsize:3;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;10;;;;
Buckets MSM-Mean: bucketsize:3;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;10;;;;
Buckets MSM-Mean: bucketsize:3;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;10;10;14,143057;0;
Buckets MSM-Mean: bucketsize:4;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.70192, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;55;;;;
Buckets MSM-Mean: bucketsize:4;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.70192, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;55;;;;
Buckets MSM-Mean: bucketsize:4;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.70192, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;55;55;14,143057;0;
Buckets MSM-Mean: bucketsize:5;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;248;;;;
Buckets MSM-Mean: bucketsize:5;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;249;;;;
Buckets MSM-Mean: bucketsize:5;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115];14,143057;248;248,3333333;14,143057;0;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;11;50words;1.0;[-0.15898, -0.70192, -0.39866, -0.73504, -0.56697, -0.81787, -0.90961, -0.76426, -0.87417, -0.87417, -1.1013];14,662157;68;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;11;50words;1.0;[-0.15898, -0.15898, -0.39866, -0.73504, -0.56697, -0.81787, -0.90961, -0.90961, -0.97771, -0.91489, -1.1013];15,226797;68;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;11;50words;1.0;[-0.15898, -0.70192, -0.39866, -0.39866, -0.79311, -0.81787, -0.85766, -0.85766, -0.91489, -0.88889, -1.1013];14,601757;64;66,66666667;14,830237;0,048587798;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;11;50words;1.0;[-0.23771, -0.70192, -0.39866, -0.76532, -0.56697, -0.79311, -0.83918, -0.90536, -0.26418, -0.92182, -1.1013];15,785797;518;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;11;50words;1.0;[-0.23771, -0.23771, -0.39866, -0.76532, -0.79311, -0.81787, -0.90536, -0.90536, -0.91489, -0.92182, -0.40883];15,436777;649;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;11;50words;1.0;[-0.23771, -0.6662, -0.73504, -0.76532, -0.79311, -0.56697, -0.76426, -0.85766, -0.91489, -0.91489, -1.1013];14,564797;669;612;15,262457;0,079148376;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;11;50words;1.0;[-0.6662, -0.89555, -0.31878, -0.76532, -0.79311, -0.81787, -0.85766, -0.85766, -0.87417, -0.97771, -0.93115];14,679057;7894;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;11;50words;1.0;[-0.6662, -0.70192, -0.73504, -0.31878, -0.81787, -0.81787, -0.76426, -0.90536, -0.26418, -0.97771, -1.1013];16,106857;7256;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;11;50words;1.0;[-0.15898, -0.89555, -0.73504, -0.76532, -0.56697, -0.56697, -0.83918, -0.90536, -0.97771, -0.91489, -0.93115];14,958437;7341;7497;15,248117;0,078134451;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;11;50words;1.0;[-0.23771, -0.70192, -0.31878, -0.76532, -0.39866, -0.89821, -0.26418, -0.83918, -0.66304, -0.97771, -0.88889];15,809177;71;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;11;50words;1.0;[-0.15898, -0.6662, -0.73504, -0.56697, -0.81787, -0.47977, -0.26418, -0.76426, -0.91489, -0.88889, -0.97771];15,339257;74;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;11;50words;1.0;[-0.23771, -0.6662, -0.89555, -0.56697, -0.56697, -0.79311, -0.85766, -0.8677, -0.90536, -0.88889, -1.1013];14,923797;74;73;15,35741033;0,085862154;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;11;50words;1.0;[-0.15898, -0.89569, -0.31878, -0.39866, -0.81787, -0.76532, -0.90961, -0.163, -0.87417, -0.34839, -1.1013];17,353537;741;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;11;50words;1.0;[-0.31878, -0.70192, -0.70192, -0.76532, -0.79311, -0.89821, -0.83918, -0.163, -0.91489, -0.40883, -0.97771];16,640937;792;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;11;50words;1.0;[-0.6662, -0.89569, -0.31878, -0.47977, -0.47977, -0.81787, -0.85766, -0.90536, -0.90536, -0.92182, -0.93115];14,725577;731;754,6666667;16,240017;0,148267804;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;11;50words;1.0;[-0.6662, -0.70192, -0.31878, -0.76532, -0.79311, -0.79311, -0.87417, -0.66304, -0.26418, -0.88889, -0.40883];16,607037;7685;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;11;50words;1.0;[-0.70192, -0.73504, -0.15898, -0.56697, -0.90157, -0.89623, -0.83918, -0.66304, -0.87417, -0.93115, -0.40883];16,186317;7650;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;11;50words;1.0;[-0.6662, -0.23771, -0.89557, -0.47977, -0.76532, -0.90157, -0.049013, -0.83918, -0.87417, -0.34839, -0.34839];18,166851;4749;6694,666667;16,986735;0,2010653;
