heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.65608, 0.50658, 0.60983];32,152806;49042;;;;
MSM-Mean Exact;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.65608, 0.50658, 0.60983];32,152806;49207;;;;
MSM-Mean Exact;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.65608, 0.50658, 0.60983];32,152806;49283;49177,33333;32,152806;0;
Buckets MSM-Mean: bucketsize:2;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.89246, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;1;;;;
Buckets MSM-Mean: bucketsize:2;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.89246, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;1;;;;
Buckets MSM-Mean: bucketsize:2;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.89246, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;1;1;33,129578;0,030379059;
Buckets MSM-Mean: bucketsize:3;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.89246, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;14;;;;
Buckets MSM-Mean: bucketsize:3;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.89246, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;13;;;;
Buckets MSM-Mean: bucketsize:3;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.89246, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;13;13,33333333;33,129578;0,030379059;
Buckets MSM-Mean: bucketsize:4;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;77;;;;
Buckets MSM-Mean: bucketsize:4;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;77;;;;
Buckets MSM-Mean: bucketsize:4;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983];33,129578;77;77;33,129578;0,030379059;
Buckets MSM-Mean: bucketsize:5;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65994, 0.50658, 0.60983];33,129578;240;;;;
Buckets MSM-Mean: bucketsize:5;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65994, 0.50658, 0.60983];33,129578;241;;;;
Buckets MSM-Mean: bucketsize:5;4;12;50words;1.0;[-0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.99568, 0.89246, 0.78214, 0.65994, 0.50658, 0.60983];33,129578;241;240,6666667;33,129578;0,030379059;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;12;50words;1.0;[0.053328, -0.24633, 1.4873, 0.65889, -0.40999, 0.42319, -0.16808, 0.99568, 0.65608, 0.18637, 0.39387, 0.50658];41,887004;64;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;12;50words;1.0;[-0.24633, -0.61693, -0.58998, 0.18476, 0.65994, 1.5723, 0.87865, 1.0726, 0.78214, 0.78214, 0.50658, 0.50658];36,706582;55;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;12;50words;1.0;[-0.41674, -0.41674, 0.18476, -0.041712, 0.65994, 0.65994, 0.99568, 1.0726, 0.65608, 0.78214, 0.50658, 0.50658];34,480874;50;56,33333333;37,69148667;0,172261191;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;12;50words;1.0;[-0.24633, -0.14305, 1.3542, 0.65889, 1.0804, 0.42319, 0.89246, 0.89246, 1.2386, 0.78214, 0.39387, 0.50658];37,396406;672;;;;
