heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;31163;;;;;;
MSM-Mean Exact;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;31147;;;;;;
MSM-Mean Exact;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;31345;31218,33333;0;0,00%;13,056583;0,00%;
3-MSM-Mean;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;31243;;;;;;
3-MSM-Mean;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;31213;;;;;;
3-MSM-Mean;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;31261;31239;20,66666667;0,07%;13,056583;0,00%;
Buckets MSM-Mean: bucketsize:2;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;0;0;-31218,33333;-100,00%;13,056583;0,00%;
Buckets MSM-Mean: bucketsize:3;3;23;50words;1.0;[-0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787, -0.83918, -0.85766, -0.87417, -0.92182, -0.93115, -0.94213, -0.9522];13,056583;2;;;;;;
