heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;7652;;;;;;
MSM-Mean Exact;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;7615;;;;;;
MSM-Mean Exact;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;7645;7637,333333;0;0,00%;25,67398;0,00%;
3-MSM-Mean;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;7616;;;;;;
3-MSM-Mean;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;7657;;;;;;
3-MSM-Mean;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;7663;7645,333333;8;0,10%;25,67398;0,00%;
Buckets MSM-Mean: bucketsize:2;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;0;0;-7637,333333;-100,00%;25,67398;0,00%;
Buckets MSM-Mean: bucketsize:3;3;18;50words;1.0;[0.19687, 0.13824, 0.081412, 0.023502, -0.033603, -0.088193, -0.14003, -0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651];25,67398;1;;;;;;
