heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.5922, -0.598];23,849972;24181;;;;;;
MSM-Mean Exact;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.5922, -0.598];23,849972;24401;;;;;;
MSM-Mean Exact;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.5922, -0.598];23,849972;24157;24246,33333;0;0,00%;23,849972;0,00%;
3-MSM-Mean;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.5922, -0.598];23,849972;24210;;;;;;
3-MSM-Mean;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.5922, -0.598];23,849972;24283;;;;;;
3-MSM-Mean;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.5922, -0.598];23,849972;24296;24263;16,66666667;0,07%;23,849972;0,00%;
Buckets MSM-Mean: bucketsize:2;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598];23,849972;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598];23,849972;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598];23,849972;0;0;-24246,33333;-100,00%;23,849972;0,00%;
Buckets MSM-Mean: bucketsize:3;3;22;50words;1.0;[-0.19027, -0.23723, -0.27842, -0.31464, -0.3483, -0.38055, -0.40855, -0.43305, -0.45546, -0.47807, -0.49651, -0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598];23,849972;2;;;;;;
