heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;10;50words;1.0;[0.019398, 1.2539, -0.038255, 0.70163, 0.84133, 0.10223, 0.37582, 0.42341, 1.1688, 0.030907];30,750873;969;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;10;50words;1.0;[-0.82984, -0.068617, 0.019398, 0.1994, 0.70163, 0.10223, 0.37582, -0.8297, 0.28756, -0.82803];33,779731;663;797,6666667;31,95137367;0,147185535;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;10;50words;1.0;[1.798, 0.97972, 1.1168, 0.1994, 0.70163, 0.29639, 0.42825, 0.42825, 1.0607, 0.030907];30,633287;9324;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;10;50words;1.0;[1.2539, 0.019398, 0.97972, 0.84133, 0.70163, 0.70163, 0.9651, 0.15633, 0.15633, 0.87969];30,338307;7906;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;10;50words;1.0;[-0.038255, 1.798, 0.97972, 0.1994, 0.10223, 0.5619, 0.45166, 0.42341, 0.37582, 0.44917];29,465207;9634;8954,666667;30,14560033;0,082350856;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;4;10;50words;1.0;[0.97972, 1.1168, 0.97972, 0.019398, 1.2867, 0.37582, 0.42341, 0.28756, -0.82803, 0.030907];31,156491;101;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;4;10;50words;1.0;[1.2539, 0.84133, 0.019398, 0.10223, 0.1994, 0.29639, 0.42825, 0.42825, 0.030907, -0.82803];29,830367;65;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;4;10;50words;1.0;[0.84133, 1.2539, 1.5418, 0.84133, 0.5619, -0.83089, 0.42825, 0.37582, 0.45166, 0.9651];32,632517;112;92,66666667;31,20645833;0,120440015;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;4;10;50words;1.0;[1.1168, -0.038255, -0.038255, -0.038255, 0.29639, 0.42825, 0.28756, 0.5619, 0.87969, 0.9651];30,750803;712;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;4;10;50words;1.0;[-0.068617, 0.84133, 0.10223, 1.1168, -0.83057, 0.42341, 0.42341, 0.28756, 0.9651, -0.82803];33,207601;1105;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;4;10;50words;1.0;[1.1168, -0.068617, 0.97972, 1.2539, 0.29639, 0.37582, 1.0607, 0.1994, 0.45166, -0.8297];31,913285;1104;973,6666667;31,95722967;0,14739579;
