heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;20;50words;1.0;[-0.19899, -0.1132, -0.010807, -0.010807, 0.32162, 0.39279, 0.3249, 0.25892, -0.22919, 0.13824, 0.081412, -0.24159, -0.088193, -0.26735, -0.14003, -0.14003, 1.333, -0.23723, -0.41137, -0.3483];28,152819;90;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;20;50words;1.0;[-0.21059, -0.1132, 0.62818, -0.19444, -0.19914, 0.32162, 0.3249, 0.45414, 0.13824, 0.19687, 0.081412, 0.081412, -0.033603, -0.26735, -0.19027, -0.19027, -0.23723, -0.27842, -0.31464, -0.31464];27,135887;98;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;20;50words;1.0;[-0.19899, -0.19899, 0.094843, 0.094843, -0.19683, 0.39279, -0.20288, 0.60596, 0.13824, 0.19687, 0.023502, 0.023502, -0.088193, -0.033603, -0.14003, -0.19027, -0.23723, -0.27842, -0.3483, -0.43885];27,10201;99;95,66666667;-14027;-99,32%;27,463572;9,17%;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;20;50words;1.0;[-0.1988, -0.19899, -0.010807, 0.094843, 0.20317, 0.20317, -0.21124, 0.3249, -0.22919, 0.19687, 0.023502, 0.081412, -0.088193, -0.033603, -0.14003, -0.19027, -0.23723, -0.23723, -0.31464, -0.3483];26,74879;1035;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;20;50words;1.0;[0.81372, -0.1132, 0.62818, -0.19646, 0.39279, 0.32162, -0.21124, 0.60596, 0.13824, 0.77833, 0.023502, -0.24159, -0.033603, -0.088193, -0.30541, -0.14003, -0.38403, -0.23723, -0.3483, -0.31464];29,741052;971;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;20;50words;1.0;[-0.1132, -0.1988, -0.19444, 0.62818, -0.19683, -0.19914, -0.20288, 0.25892, -0.22919, 0.13824, 0.023502, 0.081412, -0.033603, -0.088193, -0.14003, -0.19027, -0.27842, -0.23723, -0.31464, -0.3483];28,30488;973;993;-13129,66667;-92,97%;28,26490733;12,36%;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;20;50words;1.0;[0.71726, -0.1132, 0.62818, 0.62818, 0.39279, -0.19914, -0.20288, 0.45414, -0.21988, -0.21988, 0.023502, 0.081412, -0.033603, -0.088193, -0.19027, -0.30541, -0.23723, -0.35593, -0.31464, -0.41137];30,043704;10348;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;20;50words;1.0;[-0.21059, -0.1988, -0.010807, 0.62818, -0.19683, 0.46526, 0.25892, 0.3249, 0.19687, 0.13824, -0.24159, 0.081412, -0.033603, -0.033603, -0.14003, -0.14003, -0.23723, -0.23723, -0.31464, -0.3483];27,303109;10710;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;20;50words;1.0;[-0.1988, -0.21059, 0.094843, -0.010807, 0.46526, -0.19914, -0.20288, 0.25892, -0.22919, 0.19687, 0.081412, 0.081412, -0.033603, -0.088193, -0.19027, -0.32869, -0.27842, -0.38403, -0.3483, -0.3483];27,72907;10835;10631;-3491,666667;-24,72%;28,35862767;12,73%;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;20;50words;1.0;[-0.19646, -0.19899, 0.81372, 0.46526, -0.19914, 0.094843, 0.19687, 0.3249, 0.77833, 0.081412, 0.023502, 0.081412, -0.14003, -0.28502, -0.28502, -0.27842, -0.27842, -0.38403, -0.3483, 1.0519];30,509243;83;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;20;50words;1.0;[-0.19899, 0.62818, -0.010807, 0.39279, 0.20317, -0.19444, 0.60596, -0.20288, 0.19687, 0.13824, 0.081412, 0.13824, -0.088193, -0.033603, -0.14003, -0.19027, -0.32869, -0.32869, -0.41137, -0.3483];28,219905;91;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;20;50words;1.0;[-0.010807, 0.62818, -0.21059, 0.32162, 0.20317, 0.39279, -0.21124, 0.25892, 0.3249, 0.13824, 0.023502, -0.24159, -0.14003, -0.088193, -0.033603, -0.27842, -0.27842, -0.27842, -0.3483, -0.31464];28,024599;94;89,33333333;-14033,33333;-99,37%;28,91791567;14,96%;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;20;50words;1.0;[-0.1988, 0.81372, -0.010807, -0.19444, 0.32162, 0.54345, 0.19687, -0.20288, 0.60596, 0.081412, 0.081412, 0.081412, -0.26735, -0.14003, -0.088193, -0.27842, -0.23723, -0.35593, -0.41137, -0.3483];28,920022;919;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;20;50words;1.0;[0.62818, -0.1132, -0.010807, 0.46526, 0.20317, -0.19914, 0.77833, 0.45414, 0.60596, 0.081412, 0.023502, -0.25397, -0.033603, -0.26735, -0.033603, -0.23723, -0.19027, -0.27842, -0.3483, -0.31464];29,419141;990;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;20;50words;1.0;[0.71726, -0.21059, -0.010807, -0.19444, 0.46526, 0.32162, 0.3249, 0.19687, 0.19687, 0.081412, 0.023502, -0.22919, -0.033603, -0.26735, -0.30541, -0.32869, -0.23723, -0.38403, -0.43885, -0.3483];27,94145;917;942;-13180,66667;-93,33%;28,76020433;14,33%;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;20;50words;1.0;[-0.010807, -0.1988, -0.1988, -0.19914, 0.32162, -0.19914, 0.77833, 0.45414, 0.25892, 0.081412, 0.081412, 0.081412, -0.088193, -0.033603, -0.30541, -0.23723, -0.19027, -0.32869, -0.41137, -0.31464];28,587647;10393;;;;;;;;;;
