heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.54777, 0.54265, 0.9526, 0.59474, 0.59474, 0.68632, 0.65738, 0.6982, 0.72174, 0.4012, 0.4012, 0.071668, 0.12035, -0.50751, 0.12035, -0.15123, -0.15123, -0.077445, 0.6103, -0.13679];26,250269;11036;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.15517, 0.12095, 0.15517, 0.68632, -0.17649, 0.3264, 0.6982, 0.65089, 0.65089, 0.73971, 0.34997, 0.34997, -0.033206, 0.12035, -0.38664, -0.46376, -0.15123, -0.15123, 0.93104, -0.40023];28,110396;11870;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.58181, 0.27716, 0.54777, 0.47395, 0.63063, 0.63063, 0.57517, 0.6982, 0.72174, 0.34997, 0.69148, 0.071668, -0.033206, -0.11427, 0.12035, -0.46044, -0.46376, -0.15123, 0.6103, -0.097869];25,674989;11949;11618,33333;-2919;-20,08%;26,67855133;18,57%;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;20;ECG200;1.0;[0.59881, 0.58181, 0.54265, 0.63063, 0.65089, 0.66442, 0.59474, -0.22484, 0.69523, 0.14805, 0.4012, 0.34997, -0.033206, -0.50751, -0.2201, -0.11427, -0.46044, -0.077445, 0.6103, -0.15123];27,015821;146;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;20;ECG200;1.0;[0.54777, 0.011532, 0.59881, -0.16769, 0.47395, 0.47395, 0.66442, 0.6982, 0.69523, 0.4012, 0.73971, 0.69148, -0.033206, -0.033206, -0.71666, -0.38664, -0.40023, -0.13679, 0.6103, -0.13679];28,159748;115;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;20;ECG200;1.0;[0.9526, 0.27716, 0.58181, 0.59881, 0.65089, 0.65089, 0.66442, 0.6982, 0.69148, 0.071668, 0.57517, 0.071668, -0.2201, -0.11427, 0.75011, -0.11427, -0.77079, -0.15123, -0.15123, -0.077445];27,236611;126;129;-14408,33333;-99,11%;27,47072667;22,09%;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;20;ECG200;1.0;[0.15517, 0.011532, 0.12095, 0.12095, -0.17649, 0.66442, 0.47395, 0.65738, 0.34997, 0.071668, 0.14805, 0.57517, -0.11427, 0.12035, -0.033206, -0.033206, -0.15123, -0.5335, -0.13679, -0.13679];27,456348;1421;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;20;ECG200;1.0;[0.54265, 0.15517, 0.58181, 0.59881, 0.6982, 0.82678, 0.59474, 0.68632, 0.14805, 0.69148, 0.34997, 0.14805, -0.2201, -0.46376, 0.12035, -0.38664, -0.15123, -0.077445, 0.88091, -0.13679];26,978815;1182;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:100000, iteration:10;3;20;ECG200;1.0;[0.54265, 0.3264, 0.3264, 0.15517, 0.59474, 0.65089, 0.82678, 0.65738, 0.34997, 0.57517, 0.071668, 0.14805, -0.033206, -0.11427, 0.12035, -0.11427, -0.40023, 0.6103, -0.15123, -0.097869];25,571371;1298;1300,333333;-13237;-91,06%;26,66884467;18,53%;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.27716, 0.59881, 0.54777, 0.54777, 0.59474, 0.82678, 0.68632, 0.47395, 0.071668, 0.73971, -0.037932, -0.037932, -0.11427, -0.11427, 0.85384, -0.2201, -0.077445, -0.40023, -0.46044, -0.097869];27,496184;14930;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.54265, 0.63063, 0.12095, 0.54777, 0.59474, -0.27771, 0.65089, 0.68632, 0.69523, 0.69523, 0.071668, 0.071668, -0.2201, -0.11427, 0.12035, -0.50751, -0.077445, -0.15123, -0.097869, -0.077445];25,603845;17482;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.15517, 0.27716, 0.011532, 0.58181, 0.47395, 0.68632, 0.6982, 0.47395, 0.69523, 0.34997, 0.4012, 0.34997, -0.033206, -0.71666, -0.033206, 0.12035, -0.5335, -0.097869, -0.40023, -0.077445];26,976896;11623;14678,33333;141;0,97%;26,69230833;18,63%;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;20;ECG200;1.0;[0.47395, 0.59881, 0.59881, 0.59881, 0.58181, 0.57517, -0.037932, 0.65738, 0.4012, 0.72174, 0.12035, 0.85384, 0.34997, 0.34997, -0.033206, -0.46376, 0.6103, -0.2201, -0.077445, -0.15123];28,327385;196;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;20;ECG200;1.0;[0.63063, 0.011532, 0.47395, 0.66442, 0.66442, 0.4012, 0.65089, -0.037932, -0.037932, 0.73971, 0.91602, 0.14805, -0.033206, -0.38664, 0.69523, -0.2201, -0.097869, -0.46044, -0.15123, -0.13679];28,491807;150;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:10000, iteration:10;3;20;ECG200;1.0;[0.011532, 0.59881, 0.27716, 0.59881, 0.3264, 0.4012, 0.071668, 0.65089, -0.037932, 0.4012, 0.75011, 0.69523, -0.033206, -0.11427, 0.75011, -0.13679, -0.2201, 0.82775, -0.077445, -0.13679];28,517399;151;165,6666667;-14371,66667;-98,86%;28,44553033;26,42%;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;20;ECG200;1.0;[0.011532, 0.9526, 0.54265, 0.59881, 0.011532, 0.82678, 0.59474, 0.65089, 0.73971, 0.73971, 0.91602, -0.63622, -0.11427, -0.63622, -0.033206, -0.077445, -0.2201, -0.077445, -0.77079, -0.097869];31,320561;1587;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;20;ECG200;1.0;[0.63063, 0.66442, 0.63063, -0.16769, 0.011532, 0.65089, -0.22484, 0.4012, 0.72174, 0.65089, 0.12035, 0.69148, 0.12035, -0.38664, 0.12035, -0.5335, -0.15123, 0.6103, -0.2201, 0.6103];29,602366;1573;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:100000, iteration:10;3;20;ECG200;1.0;[0.54265, -0.16769, 0.9526, -0.17649, 0.59881, 0.72174, 0.65738, 0.4012, -0.27771, 0.65738, 0.14805, 0.12035, 0.34997, -0.033206, -1.0489, -0.46376, -0.097869, -0.40023, -0.097869, -0.40023];31,909078;1069;1409,666667;-13127,66667;-90,30%;30,94400167;37,53%;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.3264, 0.54777, 0.47395, 0.9526, 0.9526, 0.071668, -0.037932, 0.4012, 0.65738, 0.57517, 0.12035, -0.63622, 0.34997, 0.14805, 0.85384, -0.15123, -0.46044, -0.13679, -0.097869, -0.77079];31,385317;16908;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.58181, 0.47395, 0.54777, 0.011532, 0.9526, 0.57517, 0.82678, 0.071668, 0.68632, 0.68632, 0.34997, -0.11427, -0.033206, 0.69148, 0.34997, -0.2201, -0.40023, -0.5335, -0.15123, -0.5335];28,523338;16913;;;;;;;;;;
Average Buckets MSM-Mean: bucketsize:5, rand:1000000, iteration:10;3;20;ECG200;1.0;[0.59881, 0.27716, 0.9526, 0.3264, 0.58181, 0.4012, 0.4012, -0.27771, 0.68632, 0.4012, 0.12035, -0.11427, -0.50751, -0.11427, 0.14805, -0.13679, -0.077445, -0.097869, 0.82775, -0.2201];28,358144;15622;16481;1943,666667;13,37%;29,42226633;30,77%;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;20;ECG200;1.0;[0.59881, 0.15517, 0.58181, 0.3264, 0.47395, 0.6982, 0.65089, 0.72174, 0.071668, 0.34997, 0.14805, -0.38664, -0.50751, 0.12035, -0.2201, -0.15123, 1.0888, -0.13679];29,165467;62;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;20;ECG200;1.0;[0.59881, 0.15517, -0.16769, 0.011532, 0.47395, 0.65738, 0.82678, 0.57517, 0.73971, 0.34997, 0.14805, -0.38664, -0.11427, 0.12035, 0.88091, -0.077445, -0.097869, 0.6103];29,310814;61;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:10000;3;20;ECG200;1.0;[0.9526, 0.54777, 0.12095, 0.3264, 0.47395, 0.59474, 0.6982, 0.82678, 0.73971, -0.63622, -0.033206, -0.11427, 0.12035, -0.46376, -0.46044, -0.77079, -0.5335, -0.13679];29,294368;61;61,33333333;-14476;-99,58%;29,256883;30,03%;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;20;ECG200;1.0;[0.9526, 0.15517, -0.16769, 0.011532, 0.66442, 0.59474, 0.65089, 0.57517, 0.4012, 0.34997, 0.69523, -0.033206, -0.11427, 0.12035, -0.46044, -0.077445, -0.097869, -0.40023];28,14005;631;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;20;ECG200;1.0;[0.59881, 0.15517, -0.16769, 0.011532, 0.66442, 0.65738, 0.82678, 0.57517, 0.071668, 0.34997, -0.63622, -0.38664, -0.11427, 0.12035, -0.2201, -0.15123, 1.0888, -0.097869, -0.13679];27,987751;634;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:100000;3;20;ECG200;1.0;[0.59881, 0.54777, 0.58181, 0.3264, -0.17649, -0.27771, 0.6982, 0.72174, 0.73971, 0.34997, 0.14805, -0.033206, -0.11427, 0.91602, -0.2201, -0.46044, -0.77079, -0.097869, -0.13679];28,185137;629;631,3333333;-13906;-95,66%;28,10431267;24,91%;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;20;ECG200;1.0;[0.27716, 0.15517, 0.58181, 0.011532, 0.68632, -0.22484, 0.65089, 0.72174, 0.071668, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, 0.6103];27,776372;6298;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;20;ECG200;1.0;[0.59881, 0.54777, 0.12095, 0.63063, 0.66442, 0.59474, 0.65738, 0.65089, -0.037932, 0.73971, -1.0489, -0.63622, -0.50751, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.40023];28,073578;6386;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:2, rand:1000000;3;20;ECG200;1.0;[0.59881, 0.54777, -0.16769, 0.3264, 0.47395, 0.68632, 0.65738, 0.65089, 0.4012, 0.34997, 0.69523, -0.11427, 0.12035, -0.46376, -0.46044, -0.77079, -0.097869, -0.13679];27,839991;6302;6328,666667;-8208,666667;-56,47%;27,896647;23,99%;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.66442, 0.59474, 0.6982, 0.73971, 0.14805, -0.11427, 0.12035, -0.46376, -0.077445, -0.40023];33,94657;48;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;20;ECG200;1.0;[0.54265, 0.12095, 0.011532, 0.66442, 0.65738, 0.65089, 0.73971, 0.69148, -0.63622, -0.38664, 0.85384, 0.12035, -0.46044, -0.077445, -0.13679];35,266048;48;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:10000;3;20;ECG200;1.0;[0.59881, 0.15517, 0.12095, 0.47395, 0.59474, 0.6982, -0.91072, 0.57517, 0.071668, 0.34997, -0.63622, -0.38664, 0.85384, -0.46044, -0.077445, -0.13679];33,911698;48;48;-14489,33333;-99,67%;34,374772;52,78%;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;20;ECG200;1.0;[0.59881, 0.54777, 0.3264, 0.47395, 0.68632, 0.65738, 0.72174, 0.4012, 0.69148, 0.14805, -0.50751, -0.15123, -0.077445, -0.097869, 0.6103];32,594732;516;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;20;ECG200;1.0;[0.27716, 0.54265, 0.12095, 0.63063, 0.66442, 0.65089, 0.72174, 0.73971, 0.69148, -0.033206, 0.85384, 0.12035, -0.2201, -0.15123, -0.77079, -0.40023];32,800501;482;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:100000;3;20;ECG200;1.0;[0.59881, 0.15517, 0.12095, 0.63063, 0.65738, 0.65089, 0.72174, 0.4012, 0.69148, 0.69523, -0.38664, -0.71666, -0.46376, -0.15123, -0.77079, -0.097869, -0.40023];31,625037;493;497;-14040,33333;-96,58%;32,34009;43,73%;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.47395, 0.65738, 0.82678, 0.57517, 0.4012, 0.34997, -0.50751, -0.71666, -0.46376, -0.15123, -0.077445, -0.097869, -0.40023];31,686972;4907;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;20;ECG200;1.0;[0.27716, 0.54777, 0.12095, 0.3264, -0.17649, 0.59474, -0.22484, 0.65089, 0.72174, 0.73971, 0.34997, -0.11427, -0.71666, -0.46044, -0.077445, -0.5335, -0.40023];31,624103;4942;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:3, rand:1000000;3;20;ECG200;1.0;[0.27716, 0.54265, 0.12095, 0.011532, -0.17649, 0.59474, 0.6982, 0.65089, 0.57517, 0.69148, 0.14805, -0.033206, 0.85384, -0.2201, 0.88091, -0.5335, 0.6103];32,0099;4951;4933,333333;-9604;-66,06%;31,77365833;41,22%;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;20;ECG200;1.0;[0.9526, 0.54265, 0.3264, 0.66442, 0.65738, 0.071668, 0.34997, -0.50751, 0.12035, -0.2201, -0.077445, -0.40023];38,513986;39;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.6982, 0.4012, 0.69148, 0.75011, -0.71666, -0.15123, 1.0888, -0.5335];38,198247;39;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:10000;3;20;ECG200;1.0;[0.9526, 0.58181, 0.3264, 0.66442, 0.57517, 0.69148, 0.14805, -0.38664, 0.91602, -0.15123, -0.077445, -0.13679];39,149496;41;39,66666667;-14497,66667;-99,73%;38,62057633;71,65%;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;20;ECG200;1.0;[0.9526, 0.15517, 0.12095, 0.66442, -0.27771, 0.65738, 0.82678, 0.57517, -0.033206, -0.11427, 0.12035, -0.46376, 0.88091, -0.077445, -0.13679];35,127085;400;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;20;ECG200;1.0;[0.9526, 0.54777, 0.58181, 0.011532, -0.17649, -0.27771, 0.82678, 0.071668, 0.34997, 0.69523, 0.75011, -0.11427, -0.2201, 0.88091, -0.77079, 0.6103];35,842266;396;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:100000;3;20;ECG200;1.0;[0.27716, 0.54265, 0.63063, 0.66442, 0.59474, 0.72174, 0.4012, 0.34997, 0.69523, -0.033206, -0.15123, -0.077445, -0.5335, 0.6103];35,189537;402;399,3333333;-14138;-97,25%;35,386296;57,27%;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;20;ECG200;1.0;[0.27716, 0.54265, 0.011532, 0.47395, 0.68632, 0.72174, 0.73971, 0.69148, 0.14805, -0.033206, -0.11427, -0.2201, -0.077445, -0.097869, -0.13679];32,356568;4077;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;20;ECG200;1.0;[0.54265, -0.16769, 0.63063, 0.65089, 0.57517, 0.73971, 0.69148, -0.033206, 0.12035, -0.2201, -0.46044, -0.077445, -0.097869, -0.40023];35,273392;4064;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:4, rand:1000000;3;20;ECG200;1.0;[0.54777, 0.58181, 0.3264, 0.66442, 0.59474, 0.65738, 0.65089, 0.73971, 0.34997, 0.14805, -0.11427, 0.91602, 0.82775, -0.077445, -0.5335];34,10924;4083;4074,666667;-10462,66667;-71,97%;33,91306667;50,72%;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;20;ECG200;1.0;[0.27716, 0.58181, 0.011532, 0.47395, 0.6982, 0.82678, 0.72174, 0.14805, -0.71666, -0.46376, -0.077445, 0.6103];39,89104;33;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;20;ECG200;1.0;[0.54777, 0.63063, 0.59474, 0.6982, 0.65089, 0.57517, 0.34997, 0.69523, 0.75011, -0.77079, -0.5335, 0.6103];39,721622;33;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:10000;3;20;ECG200;1.0;[0.9526, 0.63063, 0.68632, 0.6982, -0.91072, -0.037932, 0.34997, 0.14805, -0.033206, 0.12035, -0.46044, -0.077445, -0.13679];38,054784;34;33,33333333;-14504;-99,77%;39,222482;74,32%;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;20;ECG200;1.0;[0.59881, 0.58181, 0.011532, 0.47395, 0.59474, 0.65089, 0.72174, 0.071668, 0.69523, -0.11427, -0.71666, -0.46376, -0.097869];37,233407;338;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;20;ECG200;1.0;[0.9526, 0.15517, -0.16769, 0.63063, 0.68632, -0.22484, 0.65089, 0.73971, 0.69523, -0.11427, -0.2201, -0.15123, -0.13679];37,720577;340;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:100000;3;20;ECG200;1.0;[0.59881, 0.54777, 0.58181, 0.3264, 0.66442, 0.82678, 0.72174, 0.34997, 0.75011, 0.12035, -0.077445, -0.5335, -0.13679];36,207766;347;341,6666667;-14195,66667;-97,65%;37,05391667;64,68%;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;20;ECG200;1.0;[0.9526, 0.15517, 0.58181, 0.63063, 0.82678, 0.57517, 0.73971, 0.69523, -0.033206, 0.91602, -0.2201, -0.46044, -0.77079, -0.13679];37,143447;3474;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;20;ECG200;1.0;[0.9526, 0.54265, 0.3264, 0.47395, 0.65738, 0.4012, 0.34997, 0.14805, -0.033206, 0.85384, 0.82775, -0.15123, -0.13679];36,861417;3478;;;;;;;;;;
Random Buckets MSM-Mean: bucketsize:5, rand:1000000;3;20;ECG200;1.0;[0.59881, 0.3264, 0.68632, 0.65738, 0.57517, 0.73971, 0.69148, 0.14805, -0.033206, -0.11427, -0.71666, -0.2201, -0.097869, -0.40023];35,151562;3477;3476,333333;-11061;-76,09%;36,38547533;61,71%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;14;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;14;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;14;14;-14523,33333;-99,90%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;151;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;141;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;149;147;-14390,33333;-98,99%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;1499;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;1482;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:2, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;1477;1486;-13051,33333;-89,78%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;10;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;10;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;10;10;-14527,33333;-99,93%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;116;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;109;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;109;111,3333333;-14426;-99,23%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;1182;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;1156;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:3, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;1167;1168,333333;-13369;-91,96%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;9;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;9;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;9;9;-14528,33333;-99,94%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;93;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;93;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;95;93,66666667;-14443,66667;-99,36%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;983;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;986;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:4, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;989;986;-13551,33333;-93,22%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;9;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;10;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:10000;3;20;ECG200;1.0;[0.6103];63,404625;8;9;-14528,33333;-99,94%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;84;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;88;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:100000;3;20;ECG200;1.0;[0.6103];63,404625;87;86,33333333;-14451;-99,41%;63,404625;181,80%;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;920;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;906;;;;;;;;;;
Random Buckets Merge MSM-Mean: bucketsize:5, rand:1000000;3;20;ECG200;1.0;[0.6103];63,404625;907;911;-13626,33333;-93,73%;63,404625;181,80%;;;;;
Generic MSM-Mean EA: generations:10000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;76;;;;;;;;;;
Generic MSM-Mean EA: generations:10000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.11427, -0.13679];22,516363;76;;;;;;;;;;
Generic MSM-Mean EA: generations:10000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;76;76;-14461,33333;-99,48%;22,505429;0,02%;;;;;
Generic MSM-Mean EA: generations:100000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;765;;;;;;;;;;
Generic MSM-Mean EA: generations:100000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;767;;;;;;;;;;
Generic MSM-Mean EA: generations:100000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;773;768,3333333;-13769;-94,71%;22,499962;0,00%;;;;;
Generic MSM-Mean EA: generations:1000000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;7685;;;;;;;;;;
Generic MSM-Mean EA: generations:1000000;3;20;ECG200;1.0;[0.59881, 0.54265, 0.12095, 0.3264, 0.47395, 0.59474, 0.65738, 0.65089, 0.57517, 0.4012, 0.34997, 0.14805, -0.033206, -0.11427, 0.12035, -0.2201, -0.15123, -0.077445, -0.097869, -0.13679];22,499962;7684;;;;;;;;;;
