heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.37099, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;227898;;;;
MSM-Mean Exact;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.37099, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;227902;;;;
MSM-Mean Exact;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.37099, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;226646;227482;26,488692;0;
Buckets MSM-Mean: bucketsize:2;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.64944, -0.72084, -0.74642, -0.2045, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;1;;;;
Buckets MSM-Mean: bucketsize:2;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.64944, -0.72084, -0.74642, -0.2045, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;1;;;;
Buckets MSM-Mean: bucketsize:2;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.64944, -0.72084, -0.74642, -0.2045, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;1;1;26,488692;0;
Buckets MSM-Mean: bucketsize:3;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, 0.21919, -0.55919, -0.60734, -0.64944, -0.64944, -0.72084, -0.26046, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;17;;;;
Buckets MSM-Mean: bucketsize:3;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, 0.21919, -0.55919, -0.60734, -0.64944, -0.64944, -0.72084, -0.26046, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;17;;;;
Buckets MSM-Mean: bucketsize:3;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, 0.21919, -0.55919, -0.60734, -0.64944, -0.64944, -0.72084, -0.26046, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;17;17;26,488692;0;
Buckets MSM-Mean: bucketsize:4;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.55919, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;81;;;;
Buckets MSM-Mean: bucketsize:4;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.55919, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;81;;;;
Buckets MSM-Mean: bucketsize:4;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.55919, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;81;81;26,488692;0;
Buckets MSM-Mean: bucketsize:5;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.2045, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;363;;;;
Buckets MSM-Mean: bucketsize:5;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.2045, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;363;;;;
Buckets MSM-Mean: bucketsize:5;4;15;50words;1.0;[-0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.2045, -0.74477, -0.7386, -0.73203, -0.72476];26,488692;363;363;26,488692;0;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;15;50words;1.0;[0.34388, -0.37099, 0.31058, 0.27077, -0.60734, -0.60734, -0.64944, -0.64944, -0.72084, -0.72084, -0.77102, -0.2045, -0.80158, -0.73203, -0.82374];27,060652;103;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;15;50words;1.0;[-0.37099, -0.37099, -0.44154, 0.27077, 0.21919, -0.60734, 0.082333, 0.0055374, -0.75907, -0.13984, -0.75111, -0.74477, -0.81462, -0.81462, -0.38061];27,074932;108;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;4;15;50words;1.0;[0.37367, -0.37099, -0.44154, -0.50288, -0.60734, -0.60734, 0.0055374, -0.68914, -0.72084, -0.13984, -0.26046, -0.78907, -0.34763, -0.30811, -0.38061];26,752632;105;105,3333333;26,96273867;0,01789619;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;15;50words;1.0;[0.37367, -0.37099, -0.50288, 0.27077, -0.55919, -0.60734, 0.0055374, -0.64944, -0.13984, -0.75907, -0.78907, -0.74477, -0.73203, -0.34763, -0.38061];26,748692;1059;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;15;50words;1.0;[0.34388, -0.28775, 0.31058, -0.44154, 0.15491, -0.55919, -0.64944, -0.64944, -0.74642, -0.72084, -0.26046, -0.77102, -0.73203, -0.7386, -0.72476];26,605492;1082;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;4;15;50words;1.0;[0.34388, -0.37099, 0.27077, -0.44154, 0.21919, 0.15491, -0.64944, 0.082333, -0.13984, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, 0.092898];27,5893;947;1029,333333;26,98116133;0,018591682;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;15;50words;1.0;[-0.28775, 0.37367, 0.27077, 0.27077, 0.21919, -0.60734, -0.64944, -0.64944, -0.75907, -0.72084, -0.26046, -0.26046, -0.73203, -0.81462, -0.82374];26,987872;11991;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;15;50words;1.0;[0.34388, -0.28775, 0.27077, 0.27077, 0.21919, 0.15491, -0.64944, -0.64944, -0.72084, -0.13984, -0.75111, -0.26046, -0.81462, -0.7386, -0.38061];26,679952;12503;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;4;15;50words;1.0;[-0.28775, 0.34388, 0.27077, -0.44154, -0.60734, 0.15491, 0.082333, -0.64944, -0.72084, -0.76646, -0.74477, -0.78907, -0.7386, -0.30811, -0.82374];27,005452;12296;12263,33333;26,891092;0,015191388;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;15;50words;1.0;[0.37367, -0.37099, 0.31058, -0.50288, -0.55919, 0.27077, -0.069456, -0.77979, -0.77321, -0.2045, -0.13984, -0.74477, -0.38061, -0.82374, -0.72476];27,364092;126;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;15;50words;1.0;[-0.37099, 0.37367, 0.37367, 0.21919, -0.50288, -0.60734, 0.082333, -0.68914, -0.68914, -0.75907, 0.24329, -0.75907, -0.82374, 0.092898, -0.30811];29,031068;76;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;4;15;50words;1.0;[-0.44154, -0.37099, 0.31058, 0.15491, 0.15491, -0.60734, 0.0055374, -0.069456, -0.76646, 0.278, -0.74477, -0.26046, -0.38061, -0.73203, -0.72476];27,723192;85;95,66666667;28,03945067;0,058544177;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;15;50words;1.0;[-0.28775, 0.37367, -0.44154, 0.21919, 0.21919, -0.50288, 0.0055374, -0.68914, -0.77321, -0.2045, -0.74477, -0.78907, -0.34763, -0.38061, 0.092898];27,702128;1132;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;15;50words;1.0;[0.31058, -0.44154, -0.44154, 0.27077, 0.15491, -0.78713, -0.069456, -0.77321, -0.68914, -0.78907, -0.74477, -0.74477, -0.30811, -0.82374, -0.34763];27,570432;1009;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;4;15;50words;1.0;[0.31058, -0.44154, 0.59331, 0.27077, 0.15491, -0.55919, -0.68914, -0.72084, -0.64944, -0.77102, -0.13984, -0.74477, -0.80158, -0.72476, -0.7386];27,791572;942;1027,666667;27,688044;0,045277887;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;15;50words;1.0;[0.34388, -0.37099, -0.81289, -0.55919, 0.21919, -0.78713, -0.72084, -0.069456, -0.64944, -0.74642, -0.77102, -0.77102, -0.80158, -0.7386, 0.092898];29,036608;9840;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;4;15;50words;1.0;[-0.28775, 0.37367, 0.37367, 0.27077, 0.27077, -0.55919, -0.72084, 0.0055374, -0.72084, 0.20149, -0.26046, -0.77102, -0.34763, -0.30811, -0.81462];27,914332;8929;;;;
