heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;24;50words;1.0;[-0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.65066, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,335524;40466;;;;;;
MSM-Mean Exact;3;24;50words;1.0;[-0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.65066, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,335524;40659;;;;;;
MSM-Mean Exact;3;24;50words;1.0;[-0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.65066, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,335524;40479;40534,66667;0;0,00%;39,335524;0,00%;
3-MSM-Mean;3;24;50words;1.0;[-0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.65066, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,335524;40548;;;;;;
3-MSM-Mean;3;24;50words;1.0;[-0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.65066, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,335524;40439;;;;;;
3-MSM-Mean;3;24;50words;1.0;[-0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.70244, -0.65066, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,335524;40659;40548,66667;14;0,03%;39,335524;0,00%;
Buckets MSM-Mean: bucketsize:2;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.67901, -0.67901, -0.65066, -0.65066, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,436284;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.67901, -0.67901, -0.65066, -0.65066, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,436284;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.67901, -0.67901, -0.65066, -0.65066, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,436284;0;0;-40534,66667;-100,00%;39,436284;0,26%;
Buckets MSM-Mean: bucketsize:3;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.67901, -0.67901, -0.66162, -0.5499, -0.5499, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,479644;2;;;;;;
Buckets MSM-Mean: bucketsize:3;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.67901, -0.67901, -0.66162, -0.5499, -0.5499, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,479644;2;;;;;;
Buckets MSM-Mean: bucketsize:3;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.67901, -0.67901, -0.66162, -0.5499, -0.5499, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,479644;2;2;-40532,66667;-100,00%;39,479644;0,37%;
Buckets MSM-Mean: bucketsize:4;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.69138, -0.67901, -0.6697, -0.65066, -0.65066, -0.6377, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,657244;9;;;;;;
Buckets MSM-Mean: bucketsize:4;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.69138, -0.67901, -0.6697, -0.65066, -0.65066, -0.6377, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,657244;9;;;;;;
Buckets MSM-Mean: bucketsize:4;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.69138, -0.67901, -0.6697, -0.65066, -0.65066, -0.6377, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,657244;9;9;-40525,66667;-99,98%;39,657244;0,82%;
Buckets MSM-Mean: bucketsize:5;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.68639, -0.68639, -0.66162, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,346484;22;;;;;;
Buckets MSM-Mean: bucketsize:5;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.68639, -0.68639, -0.66162, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,346484;22;;;;;;
Buckets MSM-Mean: bucketsize:5;3;24;50words;1.0;[-0.70244, -0.70193, -0.69913, -0.69488, -0.69138, -0.68639, -0.68639, -0.68639, -0.66162, -0.5499, -0.41674, -0.24633, -0.041712, 0.18476, 0.42319, 0.65994, 0.87865, 0.89246, 0.78214, 0.65608, 0.50658, 0.60983, 0.82483, 1.0293];39,346484;22;22;-40512,66667;-99,95%;39,346484;0,03%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;24;50words;1.0;[-0.83603, -0.70193, -0.69913, -0.83013, -0.69138, -0.68639, -0.67901, -0.6697, -0.65066, -0.65066, -0.41674, -0.24633, -0.041712, -0.041712, 0.42319, 0.42319, 0.87865, 0.99568, 0.78214, 0.65608, 0.39387, 0.33847, 1.0293, 1.0293];40,871476;112;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;24;50words;1.0;[-0.70193, -0.83971, -0.82232, -0.69488, -0.69138, -0.79532, -0.67901, -0.6697, -0.65066, -0.65066, -0.41674, -0.41674, -0.041712, 0.18476, 0.65994, 0.42319, 0.87865, 0.99568, 0.18637, 1.2386, 0.33847, 0.33847, 1.0293, 1.0293];42,366034;120;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;24;50words;1.0;[-0.70244, -0.83603, -0.69488, -0.82232, -0.68639, -0.69138, -0.72024, -0.72024, -0.65172, -0.5499, -0.6377, -0.24633, 0.18476, 0.18476, 0.42319, 0.42319, 1.0726, 1.0726, 0.65608, 1.3741, 0.33847, 0.50658, 0.82483, 1.0293];41,973916;111;114,3333333;-40420,33333;-99,72%;41,737142;6,11%;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;24;50words;1.0;[-0.83603, 0.2275, -0.69913, -0.83013, -0.68639, -0.69138, -0.67901, -0.6697, -0.66162, -0.66162, -0.41674, -0.41674, -0.041712, 0.18476, 0.42319, 0.42319, 0.99568, 0.89246, 0.65608, -0.0038959, 0.33847, 0.60983, 1.0293, 0.82483];43,159042;1118;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;24;50words;1.0;[0.2275, -0.70244, -0.69913, -0.82232, -0.81317, -0.69138, -0.72024, -0.72024, -0.65172, -0.65172, -0.41674, -0.24633, 0.18476, 0.18476, 0.65994, 1.1037, 1.0726, 1.0726, 0.78214, 0.78214, 0.39387, 1.4852, 0.82483, 1.6588];43,635286;1216;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;24;50words;1.0;[-0.70244, 0.2275, -0.83013, -0.69913, -0.68639, -0.69138, -0.67901, -0.6697, -0.65066, -0.5499, -0.41674, -0.41674, -0.55024, 0.18476, 0.42319, 0.42319, 1.0726, -0.16808, 1.3741, 1.2386, 0.33847, 1.5787, 0.82483, 1.0293];45,506042;1180;1171,333333;-39363,33333;-97,11%;44,10012333;12,11%;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;24;50words;1.0;[-0.83603, 0.2275, -0.69488, -0.83013, -0.69138, -0.69138, -0.67901, -0.6697, -0.65172, -0.5499, -0.41674, -0.41674, 0.18476, 0.18476, 0.42319, 0.42319, -0.30327, 0.89246, 0.18637, 1.2386, 0.50658, 1.5787, 0.1629, 1.0293];45,282906;12942;;;;;;
