heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;371;;;;;;
MSM-Mean Exact;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;284;;;;;;
MSM-Mean Exact;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;270;308,3333333;0;0,00%;23,596098;0,00%;
3-MSM-Mean;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;271;;;;;;
3-MSM-Mean;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;269;;;;;;
3-MSM-Mean;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;269;269,6666667;-38,66666667;-12,54%;23,596098;0,00%;
Buckets MSM-Mean: bucketsize:2;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;0;0;-308,3333333;-100,00%;23,596098;0,00%;
Buckets MSM-Mean: bucketsize:3;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;1;1;-307,3333333;-99,68%;23,596098;0,00%;
Buckets MSM-Mean: bucketsize:4;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;3;;;;;;
Buckets MSM-Mean: bucketsize:4;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;3;;;;;;
Buckets MSM-Mean: bucketsize:4;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;3;3;-305,3333333;-99,03%;23,596098;0,00%;
Buckets MSM-Mean: bucketsize:5;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;10;;;;;;
Buckets MSM-Mean: bucketsize:5;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;11;;;;;;
Buckets MSM-Mean: bucketsize:5;3;10;50words;1.0;[1.0293, 1.2135, 1.3719, 1.5038, 1.6112, 1.6977, 1.768, 1.8291, 1.8862, 1.9427];23,596098;11;10,66666667;-297,6666667;-96,54%;23,596098;0,00%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;10;50words;1.0;[1.8066, 1.2135, 1.8804, 1.9567, 1.6977, 1.6977, 2.1965, 2.1965, 2.3417, 1.9427];25,584738;59;;;;;;
