heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1810;;;;;;
MSM-Mean Exact;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1766;;;;;;
MSM-Mean Exact;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1764;1780;0;0,00%;13,850874;0,00%;
3-MSM-Mean;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1764;;;;;;
3-MSM-Mean;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1758;;;;;;
3-MSM-Mean;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1764;1762;-18;-1,01%;13,850874;0,00%;
Buckets MSM-Mean: bucketsize:2;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;0;0;-1780;-100,00%;13,850874;0,00%;
Buckets MSM-Mean: bucketsize:3;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;1;1;-1779;-99,94%;13,850874;0,00%;
Buckets MSM-Mean: bucketsize:4;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;4;;;;;;
Buckets MSM-Mean: bucketsize:4;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;4;;;;;;
Buckets MSM-Mean: bucketsize:4;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;4;4;-1776;-99,78%;13,850874;0,00%;
Buckets MSM-Mean: bucketsize:5;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;12;;;;;;
Buckets MSM-Mean: bucketsize:5;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;12;;;;;;
Buckets MSM-Mean: bucketsize:5;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847];13,850874;11;11,66666667;-1768,333333;-99,34%;13,850874;0,00%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;14;50words;1.0;[-0.64944, -0.60734, -0.68914, -0.72084, -0.74642, -0.75907, -0.80158, -0.7386, -0.72476, -0.72476, -0.83723, -0.83723, -0.71263, -0.84646];14,424064;47;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;14;50words;1.0;[-0.64944, -0.60734, -0.68914, -0.72084, -0.75111, -0.77102, -0.78907, -0.74477, -0.82374, -0.81462, -0.83723, -0.82926, -0.84361, -0.84646];14,724894;52;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.75111, -0.74642, -0.78907, -0.7386, -0.72476, -0.82374, -0.72014, -0.72014, -0.70847, -0.70847];14,018784;61;53,33333333;-1726,666667;-97,00%;14,38924733;3,89%;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.76646, -0.75907, -0.74642, -0.80158, -0.78907, -0.73203, -0.82374, -0.83723, -0.83723, -0.84361, -0.84646];14,668024;558;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;14;50words;1.0;[-0.64944, -0.64944, -0.76646, -0.72084, -0.74642, -0.77102, -0.7386, -0.78907, -0.81462, -0.73203, -0.83723, -0.82926, -0.84361, -0.71263];14,517814;558;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.76646, -0.74642, -0.75111, -0.78907, -0.7386, -0.81462, -0.82374, -0.71632, -0.72014, -0.84646, -0.70847];14,269534;571;562,3333333;-1217,666667;-68,41%;14,485124;4,58%;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;14;50words;1.0;[-0.60734, -0.60734, -0.72084, -0.72084, -0.75907, -0.74642, -0.78907, -0.74477, -0.81462, -0.73203, -0.83723, -0.72014, -0.84646, -0.70847];14,358724;6543;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;14;50words;1.0;[-0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.7386, -0.7386, -0.82374, -0.73203, -0.72014, -0.72014, -0.71263, -0.70847];13,978084;7969;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;14;50words;1.0;[-0.60734, -0.60734, -0.68914, -0.68914, -0.75111, -0.75111, -0.74477, -0.7386, -0.72476, -0.73203, -0.83723, -0.83723, -0.71263, -0.84361];14,332984;6358;6956,666667;5176,666667;290,82%;14,223264;2,69%;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;14;50words;1.0;[-0.77979, -0.68914, -0.60734, -0.75111, -0.76646, -0.72084, -0.81462, -0.74477, -0.73203, -0.83723, -0.82374, -0.72476, 0.0084461, -0.70847];15,33987;62;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;14;50words;1.0;[-0.60734, -0.60734, -0.68914, -0.76646, -0.74642, -0.74642, -0.74477, -0.7386, -0.74477, -0.72014, -0.72014, -0.71632, -0.84361, -0.71263];14,095784;80;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;3;14;50words;1.0;[0.40994, -0.64944, -0.68914, -0.75111, -0.72084, -0.75907, -0.81462, -0.81462, -0.80158, -0.71632, -0.83723, -0.82926, 0.0084461, -0.70847];16,20005;84;75,33333333;-1704,666667;-95,77%;15,21190133;9,83%;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;14;50words;1.0;[-0.60734, -0.77979, -0.64944, -0.72084, -0.75907, -0.75111, -0.80158, -0.73203, -0.78907, -0.72014, -0.82374, -0.82926, -0.02234, -0.84361];15,225604;610;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;14;50words;1.0;[-0.77979, -0.64944, -0.68914, -0.72084, -0.77102, -0.76646, -0.80158, -0.74477, -0.7386, -0.72476, -0.71632, 0.039155, -0.84361, -0.70847];15,072019;854;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;3;14;50words;1.0;[-0.77321, -0.60734, -0.64944, -0.75111, -0.76646, -0.75111, -0.7386, -0.80158, -0.81462, -0.72014, -0.72476, -0.72014, -0.84646, 0.0084461];15,246452;660;708;-1072;-60,22%;15,18135833;9,61%;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;14;50words;1.0;[-0.60734, -0.64944, -0.77321, -0.72084, -0.75111, -0.77102, -0.78907, -0.7386, -0.7386, -0.71632, -0.71632, -0.72014, -0.84646, -0.84646];14,304014;9511;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;14;50words;1.0;[-0.68914, -0.64944, -0.78713, -0.75111, -0.75111, -0.74642, -0.78907, -0.81462, -0.7386, -0.82374, -0.71632, -0.72014, -0.84361, 0.0084461];15,267212;9011;;;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;3;14;50words;1.0;[-0.60734, -0.68914, -0.68914, -0.72084, -0.74642, -0.72084, -0.80158, -0.7386, -0.7386, -0.72476, -0.72014, -0.72476, -0.71263, -0.70847];14,017684;10378;9633,333333;7853,333333;441,20%;14,52963667;4,90%;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;14;50words;1.0;[-0.64944, -0.64944, -0.78713, -0.78713, -0.75111, -0.74642, -0.78907, -0.77102, -0.71632, -0.83723, -0.71632, -0.82926, -0.84361, -0.71263];14,619594;123;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;14;50words;1.0;[-0.68914, -0.64944, -0.72084, -0.60734, -0.77102, -0.74642, -0.75111, -0.74642, -0.71632, -0.72476, -0.71632, -0.82374, -0.71263, -0.02234];14,958304;136;;;;;;
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;3;14;50words;1.0;[-0.77321, -0.64944, -0.78713, -0.68914, -0.75111, -0.74642, -0.78907, 0.16113, -0.72476, -0.82926, -0.82374, -0.82374, -0.84361, 0.0084461];16,370982;92;117;-1663;-93,43%;15,31629333;10,58%;
