heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;119306;;;;;;
MSM-Mean Exact;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;119400;;;;;;
MSM-Mean Exact;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;118683;119129,6667;0;0,00%;30,753215;0,00%;
3-MSM-Mean;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;118810;;;;;;
3-MSM-Mean;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;118860;;;;;;
3-MSM-Mean;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;118346;118672;-457,6666667;-0,38%;30,753215;0,00%;
Buckets MSM-Mean: bucketsize:2;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;0;0;-119129,6667;-100,00%;30,753215;0,00%;
Buckets MSM-Mean: bucketsize:3;3;29;50words;1.0;[0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919, -0.60734, -0.64944, -0.68914, -0.72084, -0.74642, -0.75111, -0.74477, -0.7386, -0.73203, -0.72476, -0.72014, -0.71632, -0.71263, -0.70847, -0.70663, -0.70598, -0.70519, -0.70339, -0.70283, -0.70349, -0.70375];30,753215;2;;;;;;
