heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;78242;;;;;;
MSM-Mean Exact;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;77999;;;;;;
MSM-Mean Exact;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;78237;78159,33333;0;0,00%;32,54532;0,00%;
3-MSM-Mean;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;78151;;;;;;
3-MSM-Mean;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;78386;;;;;;
3-MSM-Mean;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;78325;78287,33333;128;0,16%;32,54532;0,00%;
Buckets MSM-Mean: bucketsize:2;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;0;0;-78159,33333;-100,00%;32,54532;0,00%;
Buckets MSM-Mean: bucketsize:3;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;2;;;;;;
Buckets MSM-Mean: bucketsize:3;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;2;;;;;;
Buckets MSM-Mean: bucketsize:3;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;2;2;-78157,33333;-100,00%;32,54532;0,00%;
Buckets MSM-Mean: bucketsize:4;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;9;;;;;;
Buckets MSM-Mean: bucketsize:4;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;9;;;;;;
Buckets MSM-Mean: bucketsize:4;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;9;9;-78150,33333;-99,99%;32,54532;0,00%;
Buckets MSM-Mean: bucketsize:5;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;26;;;;;;
Buckets MSM-Mean: bucketsize:5;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;26;;;;;;
Buckets MSM-Mean: bucketsize:5;3;27;50words;1.0;[-0.089478, -0.11464, -0.13947, -0.16332, -0.18513, -0.2045, -0.22162, -0.23703, -0.25179, -0.26669, -0.28172, -0.29704, -0.31318, -0.3306, -0.35055, -0.37401, -0.40028, -0.42898, -0.45986, -0.49117, -0.52302, -0.55609, -0.5886, -0.62042, -0.65188, -0.68096, -0.70766];32,54532;26;26;-78133,33333;-99,97%;32,54532;0,00%;
