heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;abs. abweichung time in ms;rel. Abweichung time in ms;average cost;rel. Fehler;
MSM-Mean Exact;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;708;;;;;;
MSM-Mean Exact;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;725;;;;;;
MSM-Mean Exact;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;704;712,3333333;0;0,00%;19,44255;0,00%;
3-MSM-Mean;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;705;;;;;;
3-MSM-Mean;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;703;;;;;;
3-MSM-Mean;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;704;704;-8,333333333;-1,17%;19,44255;0,00%;
Buckets MSM-Mean: bucketsize:2;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;0;;;;;;
Buckets MSM-Mean: bucketsize:2;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;0;0;-712,3333333;-100,00%;19,44255;0,00%;
Buckets MSM-Mean: bucketsize:3;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;1;;;;;;
Buckets MSM-Mean: bucketsize:3;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;1;1;-711,3333333;-99,86%;19,44255;0,00%;
Buckets MSM-Mean: bucketsize:4;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;4;;;;;;
Buckets MSM-Mean: bucketsize:4;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;4;;;;;;
Buckets MSM-Mean: bucketsize:4;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;4;4;-708,3333333;-99,44%;19,44255;0,00%;
Buckets MSM-Mean: bucketsize:5;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;10;;;;;;
Buckets MSM-Mean: bucketsize:5;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;10;;;;;;
Buckets MSM-Mean: bucketsize:5;3;12;50words;1.0;[0.5619, 0.42341, 0.28756, 0.15633, 0.030907, -0.086822, -0.19325, -0.28775, -0.37099, -0.44154, -0.50288, -0.55919];19,44255;10;10;-702,3333333;-98,60%;19,44255;0,00%;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;12;50words;1.0;[0.5619, 0.42341, 1.0607, 0.15633, -0.086822, 0.030907, -0.19325, -0.81813, -0.807, -0.37099, -0.80087, -0.80087];22,040938;41;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;12;50words;1.0;[0.42341, 0.42341, 0.15633, 0.28756, 0.030907, -0.086822, -0.28775, -0.82236, 0.54458, -0.44154, -0.55919, -0.55919];21,45295;52;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;3;12;50words;1.0;[0.42341, 1.1688, 1.0607, 0.15633, 0.79532, 0.030907, -0.19325, -0.82236, -0.81289, -0.81289, -0.80087, -0.50288];23,704112;53;48,66666667;-663,6666667;-93,17%;22,39933333;15,21%;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;12;50words;1.0;[1.2867, 0.5619, 0.15633, 0.15633, -0.086822, -0.82559, -0.82236, -0.28775, 0.54458, -0.37099, -0.80087, -0.80087];23,461647;543;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;12;50words;1.0;[0.5619, 0.5619, 0.9651, 0.15633, -0.086822, -0.82559, -0.19325, -0.82236, -0.81289, -0.807, -0.55919, 0.49553];23,668937;494;;;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;3;12;50words;1.0;[0.5619, 0.42341, 0.9651, 0.15633, -0.086822, 0.030907, -0.19325, -0.28775, -0.37099, -0.37099, -0.50288, -0.79428];20,661188;574;537;-175,3333333;-24,61%;22,59725733;16,23%;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;3;12;50words;1.0;[0.42341, 0.42341, 0.15633, 0.28756, 0.030907, 0.030907, 0.71972, -0.28775, -0.807, -0.81289, 0.44933, -0.79428];22,880639;6609;;;;;;
