heuristic;k;n;dataset;c;mean;cost;time in ms;avg time in ms;avg cost;rel. Fehler;
MSM-Mean Exact;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.6944, -0.69535];11,221962;86669;;;;
MSM-Mean Exact;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.6944, -0.69535];11,221962;86520;;;;
MSM-Mean Exact;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.6944, -0.69535];11,221962;86468;86552,33333;11,221962;0;
Buckets MSM-Mean: bucketsize:2;4;13;50words;1.0;[-0.60425, -0.61673, -0.63031, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.69306, -0.69535];11,221962;1;;;;
Buckets MSM-Mean: bucketsize:2;4;13;50words;1.0;[-0.60425, -0.61673, -0.63031, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.69306, -0.69535];11,221962;1;;;;
Buckets MSM-Mean: bucketsize:2;4;13;50words;1.0;[-0.60425, -0.61673, -0.63031, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.69306, -0.69535];11,221962;0;0,666666667;11,221962;0;
Buckets MSM-Mean: bucketsize:3;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.6944, -0.69535];11,221962;13;;;;
Buckets MSM-Mean: bucketsize:3;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.6944, -0.69535];11,221962;13;;;;
Buckets MSM-Mean: bucketsize:3;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.6944, -0.69535];11,221962;13;13;11,221962;0;
Buckets MSM-Mean: bucketsize:4;4;13;50words;1.0;[-0.60425, -0.61673, -0.61673, -0.64285, -0.65415, -0.66523, -0.67607, -0.68639, -0.68924, -0.69147, -0.69306, -0.69306, -0.69535];11,221962;79;;;;
