heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;7;;;;
Buckets MSM-Mean: bucketsize:2;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;7;;;;
Buckets MSM-Mean: bucketsize:2;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;7;7;22,53811;22,53811;0,0000%
Buckets MSM-Mean: bucketsize:3;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;177;;;;
Buckets MSM-Mean: bucketsize:3;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;176;;;;
Buckets MSM-Mean: bucketsize:3;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;177;176,6666667;22,53811;22,53811;0,0000%
Buckets MSM-Mean: bucketsize:4;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;1586;;;;
Buckets MSM-Mean: bucketsize:4;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;1577;;;;
Buckets MSM-Mean: bucketsize:4;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;1580;1581;22,53811;22,53811;0,0000%
Buckets MSM-Mean: bucketsize:5;5;17;50words;1.0;[-0.40651, -0.45524, -0.50175, -0.54333, -0.58049, -0.61509, -0.64711, -0.67011, -0.67023, -0.67072, -0.67286, -0.6753, -0.6748, -0.6741, -0.67249, -0.68096, -0.70766];22,53811;7355;;;;
