heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;13;50words;1.0;[-0.49166, -0.44761, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;5;;;;
Buckets MSM-Mean: bucketsize:2;5;13;50words;1.0;[-0.49166, -0.44761, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;5;;;;
Buckets MSM-Mean: bucketsize:2;5;13;50words;1.0;[-0.49166, -0.44761, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;5;5;41,014428;41,014428;0,0000%
Buckets MSM-Mean: bucketsize:3;5;13;50words;1.0;[-0.49166, -0.49166, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;143;;;;
Buckets MSM-Mean: bucketsize:3;5;13;50words;1.0;[-0.49166, -0.49166, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;143;;;;
Buckets MSM-Mean: bucketsize:3;5;13;50words;1.0;[-0.49166, -0.49166, -0.38291, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;142;142,6666667;41,014428;41,014428;0,0000%
Buckets MSM-Mean: bucketsize:4;5;13;50words;1.0;[-0.49166, -0.49166, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;1188;;;;
Buckets MSM-Mean: bucketsize:4;5;13;50words;1.0;[-0.49166, -0.49166, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;1187;;;;
Buckets MSM-Mean: bucketsize:4;5;13;50words;1.0;[-0.49166, -0.49166, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;1182;1185,666667;41,014428;41,014428;0,0000%
Buckets MSM-Mean: bucketsize:5;5;13;50words;1.0;[-0.49166, -0.49166, -0.44761, -0.28383, -0.14305, 0.053328, 0.31834, 0.65889, 0.79939, 0.7701, 0.87865, 0.89246, 0.78214];41,014428;5016;;;;
