heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;8;;;;
Buckets MSM-Mean: bucketsize:2;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;8;;;;
Buckets MSM-Mean: bucketsize:2;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;8;8;44,784763;44,784763;0,0000%
Buckets MSM-Mean: bucketsize:3;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;208;;;;
Buckets MSM-Mean: bucketsize:3;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;207;;;;
Buckets MSM-Mean: bucketsize:3;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;209;208;44,784763;44,784763;0,0000%
Buckets MSM-Mean: bucketsize:4;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;1561;;;;
Buckets MSM-Mean: bucketsize:4;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;1553;;;;
Buckets MSM-Mean: bucketsize:4;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;1559;1557,666667;44,784763;44,784763;0,0000%
Buckets MSM-Mean: bucketsize:5;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;7279;;;;
Buckets MSM-Mean: bucketsize:5;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;7262;;;;
Buckets MSM-Mean: bucketsize:5;5;18;50words;1.0;[-0.53432, -0.36799, -0.27255, -0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192, -0.73504, -0.76532, -0.79311, -0.81787];44,784763;7256;7265,666667;44,784763;44,784763;0,0000%
