heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 1.1168, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341, 0.42341, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];91,238807;9;;;;
Buckets MSM-Mean: bucketsize:2;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 1.1168, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341, 0.42341, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];91,238807;9;;;;
Buckets MSM-Mean: bucketsize:2;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 1.1168, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341, 0.42341, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];91,238807;9;9;91,238807;90,57116;0,7372%
Buckets MSM-Mean: bucketsize:3;5;21;50words;1.0;[2.2167, 2.2167, 2.1407, 1.2539, 0.97972, 0.84133, 0.70163, 0.42341, 0.42341, 0.42825, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];91,674415;248;;;;
Buckets MSM-Mean: bucketsize:3;5;21;50words;1.0;[2.2167, 2.2167, 2.1407, 1.2539, 0.97972, 0.84133, 0.70163, 0.42341, 0.42341, 0.42825, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];91,674415;249;;;;
Buckets MSM-Mean: bucketsize:3;5;21;50words;1.0;[2.2167, 2.2167, 2.1407, 1.2539, 0.97972, 0.84133, 0.70163, 0.42341, 0.42341, 0.42825, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];91,674415;251;249,3333333;91,674415;90,57116;1,2181%
Buckets MSM-Mean: bucketsize:4;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 1.1168, 0.84133, 0.70163, 0.5619, 0.42341, 0.42341, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];90,57116;1981;;;;
Buckets MSM-Mean: bucketsize:4;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 1.1168, 0.84133, 0.70163, 0.5619, 0.42341, 0.42341, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];90,57116;1981;;;;
Buckets MSM-Mean: bucketsize:4;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 1.1168, 0.84133, 0.70163, 0.5619, 0.42341, 0.42341, 0.45166, 0.44917, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];90,57116;1980;1980,666667;90,57116;90,57116;0,0000%
Buckets MSM-Mean: bucketsize:5;5;21;50words;1.0;[1.8298, 1.6821, 1.5356, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341, 0.42825, 0.42825, 0.42825, 0.4309, 0.40358, 0.37367, 0.34388, 0.31058, 0.27077, 0.21919];90,73973;9669;;;;
