heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;30;50words;1.0;[0.12306, -0.0076166, -0.83971, 0.088811, -0.69913, -0.69913, -0.69488, -0.82232, -0.49166, -0.76505, -0.65066, -0.38291, -0.41674, -0.41674, -0.041712, -0.041712, 1.0804, 1.2245, 1.1037, 0.65994, 1.0726, 0.56086, 0.47118, 0.39387, 0.33847, 0.33847, 1.2135, 1.0293, 1.9567, 1.3719];104,986297;160;172;105,1925303;95,339392;10,3348%
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;30;50words;1.0;[-0.0076166, 0.12306, 0.21838, 0.088811, 0.32847, 0.40936, -0.81317, -0.55415, -0.68639, -0.79532, -0.65066, -0.44761, -0.5499, -0.28383, 0.78203, 0.80102, 0.79939, 0.80783, 1.5723, 0.71633, 0.78214, 0.89246, 0.50658, 0.39387, 0.82483, 0.29686, 0.04651, 0.13033, -0.037568, 1.3719];109,82278;1596;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;30;50words;1.0;[0.12306, -0.851, -0.57693, 0.27374, -0.83603, -0.83603, -0.55415, -0.81317, -0.67901, -0.67901, -0.65066, -0.38291, -0.28383, -0.28383, 0.053328, 0.78203, 0.79939, 0.42319, 0.99568, 0.71633, 1.0726, 0.89246, 0.47118, 0.38204, 0.33847, 0.29686, 0.13033, 1.0293, 1.3719, 1.8804];103,342438;1707;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;30;50words;1.0;[-0.0076166, -0.70269, -0.83971, 0.088811, -0.83603, -0.69913, 0.477, -0.55415, -0.49166, -0.76505, -0.72024, -0.38291, -0.5499, -0.14305, -0.24633, 0.78203, 1.0804, 0.42319, 1.1037, 1.1037, 0.89246, 0.56086, 0.47118, 0.65608, 0.60983, 0.82483, 1.2135, 1.2135, -0.12161, 1.3719];106,318761;1685;1662,666667;106,4946597;95,339392;11,7006%
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;30;50words;1.0;[-0.5788, -0.851, -0.70194, 0.27374, -0.70193, -0.69913, -0.82232, -0.82232, -0.51993, -0.49166, -0.38291, -0.38291, -0.14305, -0.41674, 0.78203, 0.31834, 0.80783, 1.3542, 0.7701, 1.5723, 0.89246, 1.0726, 0.47118, 0.39387, 0.60983, 0.21416, 1.0293, 0.13033, 1.3719, 1.5038];106,205282;18471;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;30;50words;1.0;[0.16784, -0.851, -0.57693, -0.57693, 0.37743, 0.40936, -0.82232, -0.69488, -0.67901, -0.51993, -0.38291, -0.38291, -0.14305, -0.14305, -0.041712, 0.31834, 1.3542, 0.79939, 0.7701, 1.5723, 0.89246, 0.78214, 0.65608, 0.39387, 0.60983, 0.82483, 0.13033, 0.04651, 1.8804, 1.3719];106,601018;16243;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;30;50words;1.0;[-0.70269, -0.073169, -0.70244, -0.84543, -0.57134, 0.37743, -0.69488, 0.4262, -0.67901, -0.76505, -0.44761, -0.6697, -0.41674, -0.41674, -0.24633, 0.78203, 1.2245, 0.80783, 0.87865, 0.99568, 0.64453, 0.78214, 0.47118, 0.38204, 0.21416, 0.82483, 1.733, 1.0293, 1.8804, 1.3719];105,977753;18430;17714,66667;106,261351;95,339392;11,4559%
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;30;50words;1.0;[-0.5788, -0.0076166, 0.21838, 0.37743, -0.70244, -0.83971, -0.55415, -0.79532, -0.51993, -0.65066, -0.44761, -0.49166, -0.5499, -0.41674, -0.24633, 0.65889, -0.49207, 0.80102, 0.7701, 0.89246, 0.87865, 0.56086, 0.65608, 0.18637, 0.60983, 0.1629, 0.1629, 1.3719, 1.3719, 1.2135];105,206096;198;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;30;50words;1.0;[-0.073169, -0.84543, -0.851, -0.57693, -0.70193, 0.40936, -0.55415, -0.68639, -0.55415, -0.49166, -0.44761, 0.68027, -0.28383, -0.5499, 0.71967, -0.58998, 0.42319, 1.3542, 0.64453, 0.65994, 0.65994, 0.38204, 0.47118, 1.4852, 0.60983, 1.0293, 1.733, 1.3719, 1.5038, 1.8804];109,803269;197;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;30;50words;1.0;[0.16784, -0.073169, -0.073169, 0.2275, 0.40936, -0.57693, -0.68639, 0.477, 0.52846, 0.63198, -0.49166, -0.49166, 0.75373, -0.28383, 0.053328, 0.65889, 1.4873, 1.2245, 0.99568, 0.89246, 0.65994, 0.38204, 0.47118, 0.38204, 0.13033, 0.1629, 0.1629, 1.8804, 1.8804, 1.3719];112,20064;159;184,6666667;109,0700017;95,339392;14,4018%
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;30;50words;1.0;[-0.85318, -0.57772, 0.21838, -0.57134, 0.32847, 0.37743, -0.68639, -0.79532, -0.69138, -0.72024, -0.65066, -0.38291, -0.5499, -0.28383, -0.28383, 0.18476, 0.80102, 0.80102, -0.16808, 1.0726, 0.65994, 0.78214, 0.65608, 0.38204, 0.82483, 0.60983, 0.13033, 1.5038, 1.3719, -0.16563];107,13525;1713;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;30;50words;1.0;[-0.70269, -0.5788, -0.0076166, -0.57693, -0.70193, 0.62432, -0.79532, 0.4262, -0.69138, -0.67901, -0.44761, -0.6697, 0.053328, 0.053328, 0.053328, 1.0804, 0.18476, 0.80783, 0.89246, 0.71633, 1.0726, 0.39387, 0.65608, 0.38204, 0.1629, 0.21416, 0.29686, 1.9567, 1.5038, 1.8066];106,941799;2067;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;30;50words;1.0;[-0.70194, -0.073169, -0.84543, 0.27374, -0.56335, 0.32847, -0.55415, -0.51993, -0.53771, -0.65066, -0.76505, -0.38291, -0.65172, -0.28383, -0.41674, -0.041712, 1.0804, 0.65889, 1.1037, 0.65994, 0.65994, 0.18637, 0.50658, 1.3741, 0.33847, 0.13033, 0.29686, 0.04651, 1.2135, 1.9567];107,986361;2027;1935,666667;107,35447;95,339392;12,6024%
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;5;30;50words;1.0;[-0.57772, -0.85318, -0.58115, -0.83013, 0.37743, -0.69913, -0.69138, -0.82232, -0.79532, -0.65066, -0.6697, -0.67901, -0.14305, -0.14305, -0.14305, -0.041712, 1.3542, 1.2245, 1.1037, 0.65994, 0.65994, 1.2386, 0.65608, 0.65608, 1.0293, 0.29686, 0.33847, 1.2135, 1.3719, 1.2135];106,086842;19863;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;5;30;50words;1.0;[-0.851, -0.073169, 0.16784, -0.56335, -0.70193, -0.70193, -0.69138, 0.477, -0.69488, 0.63198, -0.49166, -0.44761, -0.5499, -0.14305, -0.14305, 0.65889, 0.31834, 1.4873, 1.1037, 0.64453, 1.0726, 0.56086, 0.78214, 0.47118, 0.60983, 0.13033, 0.29686, 0.04651, -0.41586, -0.16563];109,94122;20187;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;5;30;50words;1.0;[-0.85318, -0.70194, -0.70375, -0.70193, -0.57134, -0.57134, -0.69488, -0.82232, -0.53771, -0.67901, -0.6697, -0.66162, -0.61693, 0.053328, -0.24633, 1.2245, 0.31834, 1.2245, 1.5723, 0.65994, 0.87865, 0.78214, 0.50658, 0.47118, 1.0293, 1.0293, 0.13033, 1.5038, 1.8066, 1.9567];107,547196;22532;20860,66667;107,8584193;95,339392;13,1310%
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;5;30;50words;1.0;[0.088811, -0.851, -0.83971, 0.21838, 0.477, 0.37743, -0.56335, -0.69138, -0.49166, -0.66162, -0.76505, -0.51993, -0.61693, -0.14305, -0.28383, -0.041712, 0.7701, 0.65889, 0.80783, 0.79939, 0.89246, 0.18637, 0.38204, 0.47118, 1.0293, 1.8066, 1.0293, 0.60983, -0.037568, -0.30128];108,461253;295;;;;
