heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;12;;;;
Buckets MSM-Mean: bucketsize:2;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;12;;;;
Buckets MSM-Mean: bucketsize:2;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;12;12;49,674223;49,674223;0,0000%
Buckets MSM-Mean: bucketsize:3;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;277;;;;
Buckets MSM-Mean: bucketsize:3;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;278;;;;
Buckets MSM-Mean: bucketsize:3;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;277;277,3333333;49,674223;49,674223;0,0000%
Buckets MSM-Mean: bucketsize:4;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;2375;;;;
Buckets MSM-Mean: bucketsize:4;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;2364;;;;
Buckets MSM-Mean: bucketsize:4;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;2372;2370,333333;49,674223;49,674223;0,0000%
Buckets MSM-Mean: bucketsize:5;5;26;50words;1.0;[-0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923, -0.59418, -0.60334, -0.53546, -0.46369, -0.39122, -0.32103];49,674223;12072;;;;
