heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;12;;;;
Buckets MSM-Mean: bucketsize:2;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;12;;;;
Buckets MSM-Mean: bucketsize:2;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;12;12;51,531023;51,531023;0,0000%
Buckets MSM-Mean: bucketsize:3;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;312;;;;
Buckets MSM-Mean: bucketsize:3;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;311;;;;
Buckets MSM-Mean: bucketsize:3;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;312;311,6666667;51,531023;51,531023;0,0000%
Buckets MSM-Mean: bucketsize:4;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;2363;;;;
Buckets MSM-Mean: bucketsize:4;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;2359;;;;
Buckets MSM-Mean: bucketsize:4;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;2364;2362;51,531023;51,531023;0,0000%
Buckets MSM-Mean: bucketsize:5;5;27;50words;1.0;[-0.51127, -0.52333, -0.53702, -0.54767, -0.55586, -0.56249, -0.57122, -0.57886, -0.5851, -0.59057, -0.598, -0.60553, -0.61202, -0.61767, -0.62404, -0.6301, -0.63368, -0.63404, -0.63123, -0.62446, -0.61098, -0.59001, -0.56179, -0.52754, -0.49295, -0.52637, -0.55923];51,531023;11996;;;;
