heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;5;;;;
Buckets MSM-Mean: bucketsize:2;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;6;;;;
Buckets MSM-Mean: bucketsize:2;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;5;5,333333333;17,264615;17,264615;0,0000%
Buckets MSM-Mean: bucketsize:3;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;140;;;;
Buckets MSM-Mean: bucketsize:3;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;140;;;;
Buckets MSM-Mean: bucketsize:3;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;140;140;17,264615;17,264615;0,0000%
Buckets MSM-Mean: bucketsize:4;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;1170;;;;
Buckets MSM-Mean: bucketsize:4;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;1168;;;;
Buckets MSM-Mean: bucketsize:4;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;1168;1168,666667;17,264615;17,264615;0,0000%
Buckets MSM-Mean: bucketsize:5;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;4890;;;;
Buckets MSM-Mean: bucketsize:5;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;4898;;;;
Buckets MSM-Mean: bucketsize:5;5;12;50words;1.0;[-0.6748, -0.6741, -0.67249, -0.68096, -0.70766, -0.73273, -0.75464, -0.77372, -0.76844, -0.7541, -0.74298, -0.73657];17,264615;4893;4893,666667;17,264615;17,264615;0,0000%
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;12;50words;1.0;[-0.81183, -0.81183, -0.82223, -0.65188, -0.73273, -0.64486, -0.75464, -0.79792, -0.76844, -0.76844, -0.82178, -0.74298];18,052205;62;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;12;50words;1.0;[-0.6741, -0.62042, -0.82223, -0.68096, -0.70766, -0.81976, -0.79792, -0.75464, -0.76844, -0.76844, -0.74298, -0.73657];17,654525;72;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;12;50words;1.0;[-0.6748, -0.6748, -0.65188, -0.68096, -0.70766, -0.73273, -0.61364, -0.77372, -0.76844, -0.80722, -0.82178, -0.74298];17,565254;72;68,66666667;17,757328;17,264615;2,8539%
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;12;50words;1.0;[-0.5886, -0.6748, -0.66952, -0.81994, -0.70766, -0.73273, -0.77372, -0.61364, -0.79142, -0.76844, -0.11243, -0.73657];18,340494;668;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;12;50words;1.0;[-0.81183, -0.62042, -0.67249, -0.81994, -0.73273, -0.64486, -0.61364, -0.75464, -0.76844, -0.7541, -0.73657, -0.73657];17,902475;757;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;12;50words;1.0;[-0.62042, -0.90779, -0.66952, -0.65188, -0.64486, -0.64486, -0.75464, -0.78356, -0.79142, -0.7541, -0.83603, -0.73657];18,151875;649;691,3333333;18,13161467;17,264615;5,0218%
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;12;50words;1.0;[-0.81183, -0.6748, -0.68096, -0.82223, -0.66231, -0.81976, -0.78356, -0.77372, -0.76844, -0.76844, -0.82178, -0.74298];17,859154;7429;;;;
