heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;20;50words;1.0;[0.25541, 0.36024, 0.89007, 1.7636, 1.7636, 1.9732, 1.8298, 1.6821, 1.5356, 1.2539, 1.1168, 0.84133, 0.70163, 0.5619, 0.42341];98,701098;9;;;;
Buckets MSM-Mean: bucketsize:2;5;20;50words;1.0;[0.25541, 0.36024, 0.89007, 1.7636, 1.7636, 1.9732, 1.8298, 1.6821, 1.5356, 1.2539, 1.1168, 0.84133, 0.70163, 0.5619, 0.42341];98,701098;9;;;;
Buckets MSM-Mean: bucketsize:2;5;20;50words;1.0;[0.25541, 0.36024, 0.89007, 1.7636, 1.7636, 1.9732, 1.8298, 1.6821, 1.5356, 1.2539, 1.1168, 0.84133, 0.70163, 0.5619, 0.42341];98,701098;9;9;98,701098;93,45841033;5,6096%
Buckets MSM-Mean: bucketsize:3;5;20;50words;1.0;[0.28201, 0.36024, 0.89007, 1.7636, 1.7636, 1.9732, 2.2167, 2.2167, 2.1407, 1.2539, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341];99,630586;209;;;;
Buckets MSM-Mean: bucketsize:3;5;20;50words;1.0;[0.28201, 0.36024, 0.89007, 1.7636, 1.7636, 1.9732, 2.2167, 2.2167, 2.1407, 1.2539, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341];99,630586;210;;;;
Buckets MSM-Mean: bucketsize:3;5;20;50words;1.0;[0.28201, 0.36024, 0.89007, 1.7636, 1.7636, 1.9732, 2.2167, 2.2167, 2.1407, 1.2539, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341];99,630586;210;209,6666667;99,630586;93,45841033;6,6042%
Buckets MSM-Mean: bucketsize:4;5;20;50words;1.0;[0.28201, 0.60986, 1.1879, 1.4855, 1.7636, 2.0096, 2.2167, 2.2167, 2.1407, 1.3929, 1.2539, 0.84133, 0.70163, 0.5619, 0.42341];99,153386;1960;;;;
Buckets MSM-Mean: bucketsize:4;5;20;50words;1.0;[0.28201, 0.60986, 1.1879, 1.4855, 1.7636, 2.0096, 2.2167, 2.2167, 2.1407, 1.3929, 1.2539, 0.84133, 0.70163, 0.5619, 0.42341];99,153386;1948;;;;
Buckets MSM-Mean: bucketsize:4;5;20;50words;1.0;[0.28201, 0.60986, 1.1879, 1.4855, 1.7636, 2.0096, 2.2167, 2.2167, 2.1407, 1.3929, 1.2539, 0.84133, 0.70163, 0.5619, 0.42341];99,153386;1950;1952,666667;99,153386;93,45841033;6,0936%
Buckets MSM-Mean: bucketsize:5;5;20;50words;1.0;[0.28201, 0.60986, 0.89007, 1.4855, 1.7636, 1.9732, 1.8298, 1.6821, 1.6821, 1.6821, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341];98,362208;9653;;;;
Buckets MSM-Mean: bucketsize:5;5;20;50words;1.0;[0.28201, 0.60986, 0.89007, 1.4855, 1.7636, 1.9732, 1.8298, 1.6821, 1.6821, 1.6821, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341];98,362208;9682;;;;
Buckets MSM-Mean: bucketsize:5;5;20;50words;1.0;[0.28201, 0.60986, 0.89007, 1.4855, 1.7636, 1.9732, 1.8298, 1.6821, 1.6821, 1.6821, 0.97972, 0.84133, 0.70163, 0.5619, 0.42341];98,362208;9677;9670,666667;98,362208;93,45841033;5,2470%
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;20;50words;1.0;[0.14939, 0.25541, 0.21883, 0.17878, 0.10099, 0.10099, 1.7636, 2.3663, 1.8298, 2.2167, 2.22, 2.22, 1.2539, 1.3929, 0.97972, 1.1168, 1.5418, 0.70163, 0.37582, 0.29639];104,991854;123;;;;
