heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;4;;;;
Buckets MSM-Mean: bucketsize:2;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;4;;;;
Buckets MSM-Mean: bucketsize:2;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;4;4;30,837763;30,837763;0,0000%
Buckets MSM-Mean: bucketsize:3;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;105;;;;
Buckets MSM-Mean: bucketsize:3;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;105;;;;
Buckets MSM-Mean: bucketsize:3;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;105;105;30,837763;30,837763;0,0000%
Buckets MSM-Mean: bucketsize:4;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;819;;;;
Buckets MSM-Mean: bucketsize:4;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;826;;;;
Buckets MSM-Mean: bucketsize:4;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;816;820,3333333;30,837763;30,837763;0,0000%
Buckets MSM-Mean: bucketsize:5;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;4803;;;;
Buckets MSM-Mean: bucketsize:5;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;4785;;;;
Buckets MSM-Mean: bucketsize:5;5;11;50words;1.0;[-0.31399, -0.35611, -0.39703, -0.43675, -0.47571, -0.51503, -0.55365, -0.59154, -0.62892, -0.6662, -0.70192];30,837763;4779;4789;30,837763;30,837763;0,0000%
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;11;50words;1.0;[-0.056366, -0.35611, -0.014801, -0.39703, -0.51503, -0.51503, -0.59154, -0.8123, -0.89555, -0.83568, -0.89557];32,165674;95;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;11;50words;1.0;[-0.35611, -0.7536, -0.43675, -0.39703, -0.7919, -0.80205, -0.55365, -0.55365, -0.6662, -0.83568, -0.23771];32,543793;100;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;11;50words;1.0;[-0.31399, -0.7536, -0.43675, -0.43675, -0.47571, 0.010872, -0.8938, -0.55365, -0.62892, -0.62892, 0.62756];35,589655;82;92,33333333;33,43304067;30,837763;8,4159%
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;11;50words;1.0;[-0.31399, -0.35611, -0.43675, -0.43675, -0.51503, -0.47571, -0.89463, -0.55365, -0.89555, -0.091416, 0.62756];35,911095;865;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;11;50words;1.0;[-0.31399, -0.76283, -0.39703, -0.43675, 0.015437, -0.80205, -0.8123, -0.55365, -0.6662, -0.62892, -0.89557];32,47257;993;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;11;50words;1.0;[-0.31399, -0.12594, -0.43675, -0.77293, -0.7919, -0.80205, -0.82314, -0.55365, -0.62892, -0.89555, -0.86637];32,117533;952;936,6666667;33,50039933;30,837763;8,6343%
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;11;50words;1.0;[-0.35611, -0.35611, -0.7825, -0.43675, -0.47571, -0.47571, -0.82314, -0.55365, -0.83568, -0.62892, -0.86637];32,136533;10497;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;11;50words;1.0;[-0.35611, -0.056366, -0.39703, -0.7825, 0.010872, -0.51503, -0.55365, -0.8938, -0.6662, -0.15898, -0.70192];33,140649;10343;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;11;50words;1.0;[-0.31399, -0.35611, -0.77293, -0.39703, -0.47571, -0.47571, -0.59154, -0.59154, -0.85029, -0.6662, -0.23771];32,082773;10662;10500,66667;32,45331833;30,837763;5,2389%
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;11;50words;1.0;[-0.31399, -0.35611, -0.014801, -0.47571, -0.7825, -0.80205, -0.62892, -0.59154, -0.59154, -0.89555, -0.89557];32,117022;121;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;11;50words;1.0;[-0.7536, -0.7536, -0.39703, -0.43675, -0.7919, -0.43675, -0.040091, -0.89463, -0.89463, -0.89557, -0.23771];33,540552;118;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;11;50words;1.0;[-0.35611, -0.77293, -0.76283, -0.51503, -0.51503, -0.80205, -0.62892, -0.040091, -0.89539, -0.23771, -0.85029];33,645502;100;113;33,10102533;30,837763;7,3393%
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;11;50words;1.0;[-0.88412, -0.39703, -0.39703, -0.47571, -0.43675, -0.51503, -0.62892, -0.62892, -0.89463, -0.85029, 0.76351];36,004303;830;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;11;50words;1.0;[-0.12594, -0.76283, -0.7536, -0.43675, -0.7825, 0.007477, -0.091416, -0.55365, -0.89539, 0.62756, -0.85029];36,572834;814;;;;
