heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;7;;;;
Buckets MSM-Mean: bucketsize:2;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;7;;;;
Buckets MSM-Mean: bucketsize:2;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;7;7;35,423628;35,423628;0,0000%
Buckets MSM-Mean: bucketsize:3;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;173;;;;
Buckets MSM-Mean: bucketsize:3;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;173;;;;
Buckets MSM-Mean: bucketsize:3;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;174;173,3333333;35,423628;35,423628;0,0000%
Buckets MSM-Mean: bucketsize:4;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;1551;;;;
Buckets MSM-Mean: bucketsize:4;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;1545;;;;
Buckets MSM-Mean: bucketsize:4;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;1547;1547,666667;35,423628;35,423628;0,0000%
Buckets MSM-Mean: bucketsize:5;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;7189;;;;
Buckets MSM-Mean: bucketsize:5;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;7195;;;;
Buckets MSM-Mean: bucketsize:5;5;16;50words;1.0;[-0.60334, -0.53546, -0.46369, -0.39122, -0.32103, -0.25638, -0.19821, -0.1464, -0.10158, -0.063726, -0.033104, -0.011303, 6.2289E-4, 0.0025969, -0.0050291, -0.020476];35,423628;7204;7196;35,423628;35,423628;0,0000%
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;16;50words;1.0;[-0.60334, -0.21607, -0.15624, -0.097086, -0.69373, -0.25638, 0.083558, 0.083558, 0.25246, -0.063726, -0.033104, -0.68241, 0.40604, 0.37866, -0.0050291, -0.67611];39,856609;120;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;16;50words;1.0;[-0.53546, -0.67478, -0.69457, -0.39122, -0.69212, -0.32103, -0.1464, 0.083558, -0.10158, -0.10158, 0.34376, -0.033104, 0.40604, 0.0025969, -0.0050291, -0.0050291];37,576079;130;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:10000, iteration:10;5;16;50words;1.0;[-0.21607, -0.60334, -0.46369, -0.46369, -0.69373, -0.32103, -0.1464, -0.19821, -0.10158, 0.25246, -0.011303, -0.033104, 0.43143, 6.2289E-4, 0.35068, -0.020476];37,863196;116;122;38,43196133;35,423628;8,4924%
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;16;50words;1.0;[-0.69427, -0.63428, -0.69461, -0.15624, -0.80637, 0.022972, -0.19821, -0.19821, -0.68391, -0.063726, 0.3014, 0.3014, 0.0025969, 6.2289E-4, 0.42582, -0.0050291];38,985161;1234;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;16;50words;1.0;[-0.69429, -0.69427, -0.69457, -0.39122, -0.69212, -0.25638, -0.19821, 0.1424, -0.063726, -0.10158, -0.011303, 0.3014, 0.46372, 6.2289E-4, -0.020476, -0.0050291];37,799455;1096;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:100000, iteration:10;5;16;50words;1.0;[-0.67478, -0.69429, -0.69457, -0.097086, -0.037376, -0.25638, 0.1424, -0.1464, -0.68391, -0.063726, -0.011303, -0.033104, -0.6766, 6.2289E-4, -0.0050291, 0.35068];38,717205;1279;1203;38,500607;35,423628;8,6862%
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;16;50words;1.0;[-0.53546, -0.67478, -0.69457, -0.71702, -0.25638, -0.037376, 0.083558, -0.19821, 0.199, -0.063726, 0.3014, -0.68241, 6.2289E-4, 0.0025969, -0.0050291, 0.35068];38,530627;12678;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;16;50words;1.0;[-0.60334, -0.60334, -0.69461, -0.76098, -0.80637, 0.022972, 0.083558, -0.1464, 0.25246, -0.10158, 0.3014, -0.011303, 0.40604, 0.0025969, -0.0050291, -0.020476];38,790243;13157;;;;
Average Buckets MSM-Mean: bucketsize:2, rand:1000000, iteration:10;5;16;50words;1.0;[-0.63428, -0.53546, -0.15624, -0.69457, -0.037376, -0.69212, -0.19821, 0.1424, -0.063726, 0.199, -0.68059, -0.033104, 6.2289E-4, 0.37866, -0.67611, -0.0050291];39,10674;12931;12922;38,80920333;35,423628;9,5574%
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;16;50words;1.0;[-0.69429, -0.46369, -0.69427, -0.69457, -0.25638, -0.69457, -0.1464, 0.1424, -0.19821, -0.68391, -0.033104, -0.033104, -0.0050291, -0.0050291, 0.43143, 0.35068];38,734936;133;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;16;50words;1.0;[-0.15624, -0.69427, -0.69461, -0.69457, -0.76098, -0.39122, -0.1464, -0.68992, -0.68992, -0.063726, 0.34376, -0.011303, -0.0050291, 0.39365, 0.37866, 0.35068];40,359042;143;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:10000, iteration:10;5;16;50words;1.0;[-0.27465, -0.46369, -0.71702, -0.69373, -0.69373, -0.32103, 0.083558, -0.10158, 0.083558, -0.68391, -0.063726, 0.3014, -0.67575, -0.0050291, 0.0025969, 0.35068];39,400114;153;143;39,49803067;35,423628;11,5019%
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;16;50words;1.0;[-0.15624, -0.63428, -0.53546, -0.037376, -0.32103, -0.32103, -0.68992, -0.10158, -0.6876, 0.3014, -0.011303, 0.25246, 6.2289E-4, 0.40604, -0.0050291, -0.020476];39,094675;1358;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;16;50words;1.0;[-0.71702, -0.67478, -0.53546, -0.69457, -0.097086, -0.037376, -0.19821, 0.083558, -0.68992, -0.033104, -0.011303, 0.3014, 6.2289E-4, 0.46372, 0.39365, 0.43773];39,569808;1345;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:100000, iteration:10;5;16;50words;1.0;[-0.21607, -0.63428, -0.69427, -0.39122, -0.39122, -0.69212, -0.19821, -0.1464, -0.68557, 0.50514, -0.033104, -0.011303, -0.0050291, -0.0050291, -0.0050291, -1.1591];40,539486;1350;1351;39,73465633;35,423628;12,1699%
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;5;16;50words;1.0;[-0.21607, -0.69427, -0.60334, -0.25638, -0.25638, -0.69373, 0.083558, -0.1464, 0.1424, -0.033104, 0.3014, -0.063726, 0.42582, 0.43143, -0.6766, -1.1591];41,62586;14549;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;5;16;50words;1.0;[-0.69461, -0.53546, -0.67478, -0.32103, -0.25638, 0.022972, -0.68992, -0.68557, -0.19821, -0.033104, -0.68241, 0.25246, 0.39365, -0.67575, 0.43143, -0.020476];39,957274;14725;;;;
Average Buckets MSM-Mean: bucketsize:3, rand:1000000, iteration:10;5;16;50words;1.0;[-0.69427, -0.69429, -0.21607, -0.69373, -0.39122, -0.25638, -0.19821, -0.68557, -0.6876, -0.68391, -0.033104, -0.011303, 0.0025969, 0.42582, 0.43143, -0.67611];39,845812;14680;14651,33333;40,47631533;35,423628;14,2636%
Average Buckets MSM-Mean: bucketsize:4, rand:10000, iteration:10;5;16;50words;1.0;[-0.69429, -0.53546, -0.69427, -0.69461, -0.69373, -0.80637, 0.022972, -0.68992, 0.3014, -0.10158, -0.063726, 0.199, -0.67845, 0.42582, 0.35068, -0.020476];40,473304;199;;;;
