heuristic;k;n;dataset;c;mean;cost;time in ms;average time in ms;average cost;minimum cost;rel. Fehler zu min. Kosten
Buckets MSM-Mean: bucketsize:2;5;19;50words;1.0;[-0.23801, -0.23801, -0.26869, -0.26869, -0.30166, -0.30166, -0.33521, -0.33521, -0.37555, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,867994;8;;;;
Buckets MSM-Mean: bucketsize:2;5;19;50words;1.0;[-0.23801, -0.23801, -0.26869, -0.26869, -0.30166, -0.30166, -0.33521, -0.33521, -0.37555, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,867994;8;;;;
Buckets MSM-Mean: bucketsize:2;5;19;50words;1.0;[-0.23801, -0.23801, -0.26869, -0.26869, -0.30166, -0.30166, -0.33521, -0.33521, -0.37555, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,867994;8;8;62,867994;62,819164;0,0777%
Buckets MSM-Mean: bucketsize:3;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.28683, -0.30166, -0.33521, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,837744;211;;;;
Buckets MSM-Mean: bucketsize:3;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.28683, -0.30166, -0.33521, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,837744;211;;;;
Buckets MSM-Mean: bucketsize:3;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.28683, -0.30166, -0.33521, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,837744;212;211,3333333;62,837744;62,819164;0,0296%
Buckets MSM-Mean: bucketsize:4;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.30166, -0.30166, -0.31874, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,852574;1613;;;;
Buckets MSM-Mean: bucketsize:4;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.30166, -0.30166, -0.31874, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,852574;1617;;;;
Buckets MSM-Mean: bucketsize:4;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.30166, -0.30166, -0.31874, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,852574;1615;1615;62,852574;62,819164;0,0532%
Buckets MSM-Mean: bucketsize:5;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.28683, -0.31874, -0.31874, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,854824;7687;;;;
Buckets MSM-Mean: bucketsize:5;5;19;50words;1.0;[-0.23801, -0.23801, -0.25327, -0.26869, -0.28683, -0.31874, -0.31874, -0.33521, -0.35246, -0.37555, -0.3985, -0.42317, -0.44614, -0.46523, -0.46799, -0.38925, -0.30438, -0.21059, -0.1988];62,854824;7695;;;;
